,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1963,1,Farms,39209,20715,0.22434999999999999,0.22434999999999999,0.22434999999999999,0.22434999999999999,3169.733643,694.28704800000003,14629.082031,0.41810000000000003,0.62156,7.6000000000000004E-4,1,1,1,1.05122,0.523752,2.505744,14357.625977
1964,1,Farms,37659,20320,0.201651,0.201651,0.201651,0.201651,2726.404297,650.87341300000003,13960.916015999999,0.41119,0.61977000000000004,7.6000000000000004E-4,1,1,1,1.0625,0.51757500000000001,2.4016120000000001,13358.09375
1965,1,Farms,41587,21647,0.23482700000000001,0.23482700000000001,0.23482700000000001,0.23482700000000001,3798.1896969999998,897.938354,15242.932617,0.43278,0.64576,7.6000000000000004E-4,1,1,1,1.06945,0.54239899999999996,2.331016,12890.911133
1966,1,Farms,44627,23803,0.241145,0.241145,0.241145,0.241145,4279.013672,995.92291299999999,15548.098633,0.43497999999999998,0.67322000000000004,7.6000000000000004E-4,1,1,1,1.0798300000000001,0.50991299999999995,2.193486,11904.681640999999
1967,1,Farms,44697,24577,0.23954700000000001,0.23954700000000001,0.23954700000000001,0.23954700000000001,4068.945557,1009.427124,15040.668944999999,0.45917999999999998,0.69738999999999995,7.6000000000000004E-4,1,1,1,1.0829200000000001,0.54520900000000005,2.1155279999999999,11113.200194999999
1968,1,Farms,45518,25021,0.24915000000000001,0.24915000000000001,0.24915000000000001,0.24915000000000001,4382.1020509999998,753.12377900000001,15360.777344,0.45732,0.71281000000000005,7.6000000000000004E-4,1,1,1,1.0785400000000001,0.39746900000000002,2.0915360000000001,10577.672852
1969,1,Farms,49498,26673,0.26439600000000002,0.26439600000000002,0.26439600000000002,0.26439600000000002,5218.9013670000004,841.423767,16763.617188,0.47192000000000001,0.73348000000000002,7.6000000000000004E-4,1,1,1,1.0784800000000001,0.36452200000000001,2.047863,10291.074219
1970,1,Farms,51782,28097,0.28612799999999999,0.28612799999999999,0.28612799999999999,0.28612799999999999,5790.0190430000002,1152.1024170000001,16741.734375,0.48468,0.75285000000000002,7.6000000000000004E-4,1,1,1,1.0763100000000001,0.45128000000000001,1.8154699999999999,10076.179688
1971,1,Farms,55438,30068,0.351406,0.351406,0.351406,0.351406,7567.8442379999997,1153.313721,16647.435547000001,0.50348000000000004,0.77339000000000002,7.6000000000000004E-4,1,1,1,1.0960700000000001,0.44219399999999998,1.8014540000000001,9856.7265619999998
