,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
1972,1,Farms,63374,33725,0.364394,0.364394,0.364394,0.364394,9558.3720699999994,1420.877197,18668.292968999998,0.51661999999999997,0.81130999999999998,7.6000000000000004E-4,1,1,1,1.1453,0.54436899999999999,1.8136810000000001,9745.1533199999994
1973,1,Farms,91300,44539,0.44953700000000002,0.44953700000000002,0.44953700000000002,0.44953700000000002,18240.166015999999,2142.3891600000002,26376.646484000001,0.52571000000000001,0.84806999999999999,7.6000000000000004E-4,1,1,1,1.2299,0.63939000000000001,1.784027,9783.4736329999996
1974,1,Farms,91989,47744,0.533636,0.533636,0.533636,0.533636,19122.365234000001,2015.2917480000001,23105.207031000002,0.49536000000000002,0.76954,7.6000000000000004E-4,1,1,1,1.2844500000000001,0.68930000000000002,1.787191,9102.1259769999997
1975,1,Farms,94385,48761,0.51038300000000003,0.51038300000000003,0.51038300000000003,0.51038300000000003,18908.861327999999,2366.6154790000001,24346.482422000001,0.52727000000000002,0.73824999999999996,7.6000000000000004E-4,1,1,1,1.24823,0.69928699999999999,1.703076,9014.6767579999996
1976,1,Farms,96123,53102,0.44151499999999999,0.44151499999999999,0.44151499999999999,0.44151499999999999,14756.886719,2794.4272460000002,25467.919922000001,0.53693999999999997,0.79535999999999996,7.6000000000000004E-4,1,1,1,1.2282,0.77712499999999995,1.6645970000000001,8917.7988280000009
1977,1,Farms,99491,55958,0.50289099999999998,0.50289099999999998,0.50289099999999998,0.50289099999999998,17332.630859000001,2664.6564939999998,23533.701172000001,0.56086000000000003,0.82467000000000001,7.6000000000000004E-4,1,1,1,1.2409300000000001,0.877027,1.6670240000000001,8633.9169920000004
1978,1,Farms,117591,66865,0.53456400000000004,1.7971000000000001E-2,0.53456400000000004,0.53456400000000004,22323.835938,3554.7290039999998,24845.814452999999,0.58738000000000001,0.91988999999999999,7.6000000000000004E-4,7.9500000000000005E-3,1,1,1.2457400000000001,0.78958099999999998,1.760351,8209.4501949999994
1979,1,Farms,140461,80358,0.59528199999999998,0.16481799999999999,0.59528199999999998,0.59528199999999998,28932.216797000001,3371.1098630000001,27797.722656000002,0.62253999999999998,0.95537000000000005,7.6000000000000004E-4,2.2630000000000001E-2,1,1,1.29731,0.79870200000000002,1.7403219999999999,7946.0698240000002
1980,1,Farms,137794,86426,1.2969E-2,0.246834,0.61940300000000004,0.61940300000000004,24893.011718999998,3660.5180660000001,22812.972656000002,0.59621999999999997,0.90783999999999998,7.6000000000000004E-4,3.9460000000000002E-2,1,1,1.3228800000000001,0.84123099999999995,1.673327,7856.7070309999999
1981,1,Farms,152607,87655,6.7469000000000001E-2,0.42053600000000002,0.60792400000000002,0.60792400000000002,33219.652344000002,4543.248047,27187.392577999999,0.64114000000000004,0.85260999999999998,2.2599999999999999E-3,5.2549999999999999E-2,1,1,1.2468399999999999,0.87597499999999995,1.6797629999999999,7816.5849609999996
1982,1,Farms,146978,86566,0.101465,0.54538699999999996,0.55085099999999998,0.55085099999999998,26987.269531000002,5012.2158200000003,28410.765625,0.65132000000000001,0.8458,2.9299999999999999E-3,4.9160000000000002E-2,1,1,1.14706,1.0258609999999999,1.610908,7566.1948240000002
1983,1,Farms,130023,85089,7.2757000000000002E-2,0.34723700000000002,0.45372400000000002,0.45372400000000002,17774.556640999999,4274.8364259999998,22883.28125,0.55289999999999995,0.84458,2.82E-3,3.6479999999999999E-2,1,1,1.10748,1.0000629999999999,1.5777669999999999,7441.3427730000003
1984,1,Farms,154878,90727,0.131385,0.42958499999999999,0.48368299999999997,0.48368299999999997,27218.980468999998,6405.0585940000001,30525.433593999998,0.63824999999999998,0.88353999999999999,3.4499999999999999E-3,2.4760000000000001E-2,1,1,1.08416,1.087529,1.555466,7238.7490230000003
1985,1,Farms,147668,83965,0.21720500000000001,0.33597700000000003,0.48599799999999999,0.48599799999999999,26105.994140999999,6378.5029299999997,31216.976562,0.68245,0.85199999999999998,4.81E-3,1.515E-2,1,1,1.0275399999999999,1.1079619999999999,1.455414,6685.763672
1986,1,Farms,139187,79296,0.25534200000000001,0.17610200000000001,0.42382500000000001,0.42382500000000001,22894.537109000001,5946.1069340000004,31049.076172000001,0.66952,0.84975999999999996,6.1000000000000004E-3,8.1899999999999994E-3,1,1,1.01837,0.84699999999999998,1.553876,6177.4321289999998
1987,1,Farms,147055,85012,0.432701,9.5066999999999999E-2,0.45329700000000001,0.45329700000000001,26837.546875,4911.2607420000004,30292.759765999999,0.69628999999999996,0.90232000000000001,7.3299999999999997E-3,3.79E-3,1,1,1.05942,0.81290399999999996,1.6145700000000001,6121.7758789999998
1988,1,Farms,153681,92295,0.65788199999999997,0.15197099999999999,0.44128600000000001,0.44128600000000001,23557.259765999999,5894.921875,31932.125,0.66774999999999995,0.91102000000000005,1.23E-2,6.6640000000000005E-2,1,1,1.11341,0.86912400000000001,1.562235,6085.6992190000001
1989,1,Farms,171924,97979,3.5599189999999998,3.5287259999999998,0.49437199999999998,0.49437199999999998,31512.320312,7233.9492190000001,35190.652344000002,0.70801000000000003,0.91905999999999999,3.1919999999999997E-2,0.27423999999999998,1,1,1.13636,0.91817000000000004,1.5398620000000001,5876.9868159999996
1990,1,Farms,179887,102106,7.8923410000000001,8.6049629999999997,0.45976299999999998,0.45976299999999998,28972.621093999998,8471.1923829999996,40319.769530999998,0.73892999999999998,0.93960999999999995,5.9830000000000001E-2,0.65371000000000001,1,1,1.1286,0.92810099999999995,1.42117,5702.0380859999996
1991,1,Farms,175266,104894,9.3372989999999998,13.664771999999999,0.38563799999999998,0.38563799999999998,21284.740234000001,8581.9072269999997,40481.582030999998,0.74929999999999997,0.96092,8.8800000000000004E-2,1.1931099999999999,1,1,1.1157300000000001,0.86453199999999997,1.3879060000000001,5622.7651370000003
1992,1,Farms,182577,102719,20.274052000000001,36.693966000000003,0.48615399999999998,0.48615399999999998,30369.978515999999,7250.7856449999999,42179.296875,0.78827999999999998,0.94277,0.13411999999999999,2.0187200000000001,1,1,1.0971599999999999,0.80214099999999999,1.3285389999999999,5482.0297849999997
1993,1,Farms,182156,110884,22.395363,32.991515999999997,0.32267499999999999,0.32267499999999999,18314.796875,9299.3681639999995,43601.804687999997,0.76985000000000003,0.99017999999999995,0.22173999999999999,3.1023800000000001,1,1,1.09311,0.86084799999999995,1.2601100000000001,5353.4350590000004
1994,1,Farms,197496,113902,56.982875999999997,78.235512,0.50840200000000002,0.50840200000000002,32567.576172000001,10650.170898,40240.015625,0.84065999999999996,1.00471,0.31930999999999998,4.0591299999999997,1,1,1.1036600000000001,0.85585299999999997,1.1444460000000001,4916.8291019999997
1995,1,Farms,191897,123495,25.329108999999999,33.350143000000003,0.266295,0.266295,13425.608398,11933.679688,42983.5,0.80644000000000005,1.0860399999999999,0.43067,4.7479100000000001,1,1,1.08127,0.98471500000000001,1.1272690000000001,5007.7128910000001
1996,1,Farms,215813,123174,80.598868999999993,96.545936999999995,0.49030800000000002,0.49030800000000002,34507.390625,9730.1230469999991,48223.355469000002,0.82230999999999999,1.0202,0.58877000000000002,5.2158290000000003,1,1,1.06315,0.83755999999999997,1.138781,4820.8090819999998
1997,1,Farms,219380,131244,67.159415999999993,79.220557999999997,0.445934,0.445934,29892.273438,10643.486328000001,47452.96875,0.87990000000000002,1.0582400000000001,0.78542999999999996,5.7233499999999999,1,1,1.06253,0.84402299999999997,1.1270039999999999,4738.7587890000004
1998,1,Farms,207822,128792,44.718372000000002,53.747867999999997,0.30938500000000002,0.30938500000000002,19070.199218999998,11457.557617,48403.15625,0.88515999999999995,1.1033999999999999,1.00969,6.0148999999999999,1,1,1.06867,0.82023400000000002,1.1337569999999999,4730.5219729999999
1999,1,Farms,199949,129015,16.985959999999999,20.398105999999999,0.12523000000000001,0.12523000000000001,7743.9155270000001,13467.191406,49685.257812000003,0.90547999999999995,1.1150100000000001,1.1718,5.4716399999999998,1,1,1.0688299999999999,0.96743199999999996,1.1854169999999999,4951.3569340000004
2000,1,Farms,204316,128272,17.376180999999999,19.996534,0.13949600000000001,0.13949600000000001,9324.5283199999994,12207.583984000001,54474.234375,0.91693999999999998,1.0325299999999999,1.25359,4.4804899999999996,1,1,1.0664199999999999,0.87409899999999996,1.253501,4824.2880859999996
2001,1,Farms,212335,134241,19.591671000000002,19.894629999999999,0.17563999999999999,0.17563999999999999,11954.475586,12860.710938,53238.976562000003,0.90381999999999996,1.05565,1.2833399999999999,3.53085,1,1,1.0667899999999999,0.87553899999999996,1.2505029999999999,4642.1459960000002
2002,1,Farms,201897,127864,14.606944,13.416124,0.19379299999999999,0.19379299999999999,10981.457031,13735.915039,49287.21875,0.90007999999999999,1.0241100000000001,1.2736499999999999,2.77156,1,1,1.0194300000000001,0.93314900000000001,1.248524,4574.6162109999996
2003,1,Farms,226838,133736,31.126396,25.445879000000001,0.36862800000000001,0.36862800000000001,28669.951172000001,12253.414062,52121.324219000002,0.92642999999999998,1.0046900000000001,1.25481,2.28647,1,1,0.99816000000000005,0.81943500000000002,1.209846,4489.6137699999999
2004,1,Farms,261822,142914,29.490718999999999,22.613500999999999,0.364458,0.364458,34682.308594000002,19541.044922000001,64631.816405999998,0.95330000000000004,1.00386,1.2384599999999999,1.98977,1,1,1.0285299999999999,0.96233100000000005,1.194733,4704.7402339999999
2005,1,Farms,253020,148506,14.123381999999999,9.7231629999999996,0.22209999999999999,0.22209999999999999,20857.169922000001,18529.335938,65103.203125,0.96469000000000005,0.98231000000000002,1.2185999999999999,1.77826,1,1,1.0831999999999999,0.91239300000000001,1.1302669999999999,4430.6347660000001
2006,1,Farms,255760,156408,11.156271,7.4905410000000003,0.23746999999999999,0.23746999999999999,19871.677734000001,17045.607422000001,62415.59375,0.97119999999999995,0.98838000000000004,1.17093,1.5467,1,1,1.1473899999999999,0.90569,1.0845689999999999,4364.7871089999999
2007,1,Farms,302485,188952,11.594398,7.6839440000000003,0.26129999999999998,0.26129999999999998,23842.482422000001,20358.720702999999,69312,0.96994999999999998,1.0952500000000001,1.09894,1.2852399999999999,1,1,1.1124700000000001,0.98040799999999995,1.1097330000000001,4606.2978519999997
2008,1,Farms,336096,209751,16.063562000000001,10.130877999999999,0.35843999999999998,0.35843999999999998,36313.394530999998,17960.529297000001,72044.164061999996,0.96409999999999996,1.02658,1.03545,1.0871200000000001,1,1,1.0487899999999999,0.85241199999999995,1.078559,4498.9628910000001
2009,1,Farms,301172,191372,8.8874460000000006,5.9815110000000002,0.24284500000000001,0.24284500000000001,20704.841797000001,19580.152343999998,69499.65625,1,1,1,1,1,1,1,1,1,4350.3349609999996
2010,1,Farms,328247,198522,18.740845,12.986036,0.479406,0.479406,51411.714844000002,16963.421875,61317.179687999997,1.0111399999999999,1.00861,0.98868999999999996,0.95855999999999997,1,1,1.00383,0.94299599999999995,1.0352239999999999,4373.5122069999998
2011,1,Farms,386980,220731,29.395451999999999,19.996178,0.63403200000000004,0.63403200000000004,89833.492188000004,18752.306640999999,57612.535155999998,0.97058,0.97623000000000004,0.99470999999999998,0.95738999999999996,1,1,1.0552999999999999,1.0359259999999999,1.0279609999999999,4260.5458980000003
2012,1,Farms,400924,249435,18.731468,13.275194000000001,0.49992900000000001,0.49992900000000001,61671.882812000003,23287.601562,66496.507811999996,0.96089000000000002,1.0418499999999999,1.0214399999999999,1.05829,1,1,1.1042000000000001,1.004793,0.98413300000000004,4096.6757809999999
2013,1,Farms,432941,245981,26.172526999999999,21.078482000000001,0.60722399999999999,0.60722399999999999,95130.8125,23206.412109000001,68574.3125,1.0210900000000001,1.0122800000000001,1.0617799999999999,1.1994400000000001,1,1,1.1369199999999999,0.99764399999999998,1.0613600000000001,4335.0249020000001
2014,1,Farms,438877,271168,18.122178999999999,15.788074999999999,0.51324599999999998,0.51324599999999998,70896.398438000004,26236.988281000002,70540.671875,1.0458499999999999,1.0631900000000001,1.1005,1.36185,1,1,1.1463300000000001,1.275136,1.041474,4483.4409180000002
2015,1,Farms,395334,249859,14.254773,14.418526999999999,0.49743300000000001,0.49743300000000001,59659.191405999998,24670.269531000002,61115.871094000002,1.05993,1.0384199999999999,1.1097399999999999,1.4401600000000001,1,1,1.12584,1.264356,1.1045339999999999,4404.4340819999998
2016,1,Farms,375670,238997,9.7620149999999999,10.011184,0.42180299999999998,0.42180299999999998,47170.9375,28675.230468999998,60806.214844000002,1.1366000000000001,1.08388,1.08609,1.41046,1,1,1.1083700000000001,1.3446039999999999,1.125073,4419.5087890000004
1963,2,"Forestry, fishing, and related activities",4255,2231,1.0987549999999999,1.0987549999999999,1.0987549999999999,1.0987549999999999,1192.923096,38.073338,788.60839799999997,0.60197999999999996,0.89988999999999997,1.3699999999999999E-3,1,1,1,0.28155999999999998,0.142095,1.092533,359.41928100000001
1964,2,"Forestry, fishing, and related activities",4687,2412,1.1133839999999999,1.1133839999999999,1.1133839999999999,1.1133839999999999,1390.860596,21.265187999999998,858.42059300000005,0.63226000000000004,0.94389999999999996,1.3699999999999999E-3,1,1,1,0.29133999999999999,7.7284000000000005E-2,1.0146759999999999,378.686981
1965,2,"Forestry, fishing, and related activities",5078,2594,1.062357,1.062357,1.062357,1.062357,1500.6345209999999,28.985907000000001,950.13037099999997,0.67059999999999997,0.99553000000000003,1.3699999999999999E-3,1,1,1,0.30696000000000001,6.3590999999999995E-2,0.96023099999999995,392.07565299999999
1966,2,"Forestry, fishing, and related activities",5547,2933,1.067099,1.067099,1.067099,1.067099,1535.0389399999999,62.597935,1012.094543,0.71850999999999998,1.09307,1.3699999999999999E-3,1,1,1,0.32086999999999999,7.2401999999999994E-2,0.91721299999999995,395.11657700000001
1967,2,"Forestry, fishing, and related activities",5861,3126,1.087027,0.196265,1.087027,1.087027,1625.2928469999999,47.061523000000001,1059.1884769999999,0.71862000000000004,1.13984,1.3699999999999999E-3,5.4000000000000001E-4,1,1,0.33573999999999998,7.7216999999999994E-2,0.90238799999999997,399.44955399999998
1968,2,"Forestry, fishing, and related activities",6811,3692,1.114387,1.001703,1.114387,1.114387,1904.971313,24.193674000000001,1185.48999,0.80506,1.31046,1.3699999999999999E-3,1.5499999999999999E-3,1,1,0.34947,4.7815999999999997E-2,0.88011799999999996,406.55306999999999
1969,2,"Forestry, fishing, and related activities",7703,4217,1.1023240000000001,1.9212199999999999,1.1023240000000001,1.1023240000000001,2119.7409670000002,27.220618999999999,1333.8104249999999,0.81981999999999999,1.40547,1.3699999999999999E-3,2.9099999999999998E-3,1,1,0.36553999999999998,4.3859000000000002E-2,0.87258999999999998,425.067657
1970,2,"Forestry, fishing, and related activities",7723,4145,1.1128400000000001,3.7020119999999999,1.1128400000000001,1.1128400000000001,2083.9853520000001,29.739478999999999,1457.2344969999999,0.77378999999999998,1.3200499999999999,1.3699999999999999E-3,6.0800000000000003E-3,1,1,0.38469999999999999,5.2884E-2,0.79673400000000005,418.11129799999998
1971,2,"Forestry, fishing, and related activities",8903,4882,1.1323209999999999,7.365793,1.1323209999999999,1.1323209999999999,2377.1667480000001,32.661406999999997,1600.409058,0.81362999999999996,1.4849000000000001,1.3699999999999999E-3,1.0659999999999999E-2,1,1,0.40662999999999999,5.6551999999999998E-2,0.79145399999999999,419.14450099999999
1972,2,"Forestry, fishing, and related activities",11486,6779,1.1308499999999999,10.801966999999999,1.1308499999999999,1.1308499999999999,2918.766846,35.480781999999998,1738.5582280000001,0.99285000000000001,1.96976,1.3699999999999999E-3,1.303E-2,1,1,0.42636000000000002,6.9845000000000004E-2,0.76537599999999995,450.24041699999998
1973,2,"Forestry, fishing, and related activities",13479,8023,1.1413930000000001,10.942676000000001,1.1413930000000001,1.1413930000000001,3342.90625,41.974536999999998,2056.7521969999998,0.93213999999999997,2.01573,1.3699999999999999E-3,1.337E-2,1,1,0.45877000000000001,8.2818000000000003E-2,0.84090799999999999,487.848389
1974,2,"Forestry, fishing, and related activities",14597,8764,1.09737,11.109897,1.09737,1.09737,3393.5695799999999,48.500568000000001,2376.5280760000001,0.98660000000000003,1.97262,1.3699999999999999E-3,1.35E-2,1,1,0.48420000000000002,0.101868,0.89602800000000005,486.12606799999998
1975,2,"Forestry, fishing, and related activities",13780,8003,1.0651200000000001,9.7610880000000009,1.0651200000000001,1.0651200000000001,3131.3435060000002,86.783896999999996,2545.9157709999999,0.93261000000000005,1.6997599999999999,1.3699999999999999E-3,1.286E-2,1,1,0.50641999999999998,0.101174,0.80745199999999995,453.64358499999997
1976,2,"Forestry, fishing, and related activities",16990,9873,1.09962,10.704926,1.09962,1.09962,4076.1918949999999,137.80145300000001,2889.0029300000001,0.97209000000000001,1.91198,1.3699999999999999E-3,1.3169999999999999E-2,1,1,0.53373000000000004,0.123207,0.95189800000000002,510.83966099999998
1977,2,"Forestry, fishing, and related activities",20100,12379,1.1670339999999999,12.071339999999999,1.1670339999999999,1.1670339999999999,4409.873047,159.81643700000001,3135.7382809999999,1.00305,2.1932,1.3699999999999999E-3,1.516E-2,1,1,0.56381999999999999,0.159355,0.93922399999999995,556.682861
1978,2,"Forestry, fishing, and related activities",22818,14014,0.67008999999999996,14.23662,1.1429130000000001,1.1429130000000001,4981.1088870000003,364.23968500000001,3441.45874,1.02132,2.2760600000000002,1.3699999999999999E-3,1.7639999999999999E-2,1,1,0.59657000000000004,0.180782,0.96506999999999998,628.20812999999998
1979,2,"Forestry, fishing, and related activities",25099,14943,7.5725730000000002,15.829369,1.152104,1.152104,5761.1933589999999,440.266479,3928.8332519999999,1.00651,2.1700300000000001,4.9899999999999996E-3,1.966E-2,1,1,0.63700000000000001,0.21435799999999999,0.98092900000000005,679.69671600000004
1980,2,"Forestry, fishing, and related activities",24965,14137,23.868721000000001,20.658598000000001,1.240186,1.240186,5655.6044920000004,743.908142,4381.4794920000004,1.0305800000000001,1.89446,1.2869999999999999E-2,2.1489999999999999E-2,1,1,0.67303999999999997,0.23139999999999999,0.93878799999999996,691.44061299999998
1981,2,"Forestry, fishing, and related activities",26136,15417,41.940834000000002,31.713047,1.33724,1.33724,5089.1826170000004,744.72369400000002,4808.7651370000003,1.02325,1.9362299999999999,2.0559999999999998E-2,2.827E-2,1,1,0.70704999999999996,0.21890399999999999,0.84969399999999995,697.27514599999995
1982,2,"Forestry, fishing, and related activities",24186,12897,41.827286000000001,34.484245000000001,1.280673,1.280673,5144.3681640000004,951.34515399999998,5114.4135740000002,0.97418000000000005,1.6171899999999999,2.3789999999999999E-2,3.1449999999999999E-2,1,1,0.73241000000000001,0.23182700000000001,0.77400999999999998,614.97393799999998
1983,2,"Forestry, fishing, and related activities",26202,13854,38.636935999999999,30.299364000000001,1.162261,1.162261,5828.1503910000001,1016.949585,5431.638672,1.0490699999999999,1.7104999999999999,2.3189999999999999E-2,3.1269999999999999E-2,1,1,0.75134000000000001,0.22098100000000001,0.94443200000000005,627.06951900000001
1984,2,"Forestry, fishing, and related activities",27082,14168,29.48996,25.497592999999998,1.039717,1.039717,5674.9633789999998,1168.873047,6013.0966799999997,1.0795300000000001,1.72244,2.6980000000000001E-2,3.372E-2,1,1,0.77312000000000003,0.22831000000000001,0.95512799999999998,638.50756799999999
1985,2,"Forestry, fishing, and related activities",24839,11561,32.974525,24.342379000000001,0.91955299999999995,0.91955299999999995,5273.7265619999998,1314.8900149999999,6630.2275390000004,0.99434,1.41126,3.3919999999999999E-2,3.9059999999999997E-2,1,1,0.79401999999999995,0.26237700000000003,0.918713,673.55780000000004
1986,2,"Forestry, fishing, and related activities",26517,12269,36.048732999999999,25.364191000000002,0.86384700000000003,0.86384700000000003,5469.9179690000001,1309.7036129999999,7405.2377930000002,1.03332,1.51318,4.0259999999999997E-2,4.6149999999999997E-2,1,1,0.81157999999999997,0.22203400000000001,0.95438699999999999,685.63488800000005
1987,2,"Forestry, fishing, and related activities",28043,10731,56.700519999999997,27.634955999999999,0.84729600000000005,0.84729600000000005,7274.466797,1262.6062010000001,8688.8974610000005,1.04823,1.2669299999999999,4.648E-2,5.3620000000000001E-2,1,1,0.79017999999999999,0.22550100000000001,0.95787599999999995,734.59399399999995
1988,2,"Forestry, fishing, and related activities",29555,12208,56.614013999999997,28.062548,0.83050800000000002,0.83050800000000002,6544.2895509999998,1551.513672,9164.859375,1.0083800000000001,1.34521,5.2449999999999997E-2,6.4369999999999997E-2,1,1,0.81003999999999998,0.25409300000000001,1.0128600000000001,757.317993
1989,2,"Forestry, fishing, and related activities",30050,12238,62.280158999999998,32.595641999999998,0.80869899999999995,0.80869899999999995,6453.0112300000001,1833.157471,9429.3388670000004,1.00084,1.31223,5.9950000000000003E-2,8.0140000000000003E-2,1,1,0.78485000000000005,0.295852,1.0616859999999999,786.21197500000005
1990,2,"Forestry, fishing, and related activities",31307,12935,66.298691000000005,34.690750000000001,0.79669400000000001,0.79669400000000001,6388.5268550000001,1934.570557,9946.3203119999998,1.00743,1.3457300000000001,6.8059999999999996E-2,9.5229999999999995E-2,1,1,0.81642999999999999,0.307311,1.06379,787.919983
1991,2,"Forestry, fishing, and related activities",30155,12520,67.596305999999998,32.754066000000002,0.78071299999999999,0.78071299999999999,5832.1635740000002,2036.727905,9664.1972659999992,0.98597999999999997,1.3030299999999999,7.6359999999999997E-2,0.10075000000000001,1,1,0.81032999999999999,0.30202499999999999,1.0675939999999999,759.92901600000005
1992,2,"Forestry, fishing, and related activities",34432,15621,75.868103000000005,31.234038999999999,0.79071800000000003,0.79071800000000003,6274.6821289999998,1957.4566649999999,10470.177734000001,1.04216,1.5811599999999999,8.6730000000000002E-2,0.10165,1,1,0.84765999999999997,0.30794500000000002,1.050343,750.28198199999997
1993,2,"Forestry, fishing, and related activities",36434,17189,81.162659000000005,25.065844999999999,0.749193,0.749193,5851.0815430000002,2518.366943,10767.824219,1.0077400000000001,1.6690799999999999,0.10340000000000001,0.10582,1,1,0.84086000000000005,0.37846999999999997,1.0997749999999999,802.58300799999995
1994,2,"Forestry, fishing, and related activities",40215,18465,133.69465600000001,32.113567000000003,0.88469200000000003,0.88469200000000003,8831.0078119999998,3034.1611330000001,9717.2539059999999,1.06504,1.73465,0.1232,0.10646,1,1,0.84755999999999998,0.44151200000000002,1.089243,802.01501499999995
1995,2,"Forestry, fishing, and related activities",40756,18502,165.26149000000001,28.452394000000002,0.92172699999999996,0.92172699999999996,9427.9765619999998,3080.9350589999999,9549.53125,1.05809,1.6906399999999999,0.14001,0.10384,1,1,0.85509999999999997,0.58887699999999998,1.084416,963.17297399999995
1996,2,"Forestry, fishing, and related activities",39782,18845,178.88076799999999,26.081963999999999,0.92459100000000005,0.92459100000000005,8338.0898440000001,2557.946289,9834.1513670000004,1.05216,1.7191700000000001,0.16761000000000001,0.104,1,1,0.85662000000000005,0.57623100000000005,1.1325590000000001,991.53601100000003
1997,2,"Forestry, fishing, and related activities",38411,17751,185.36631800000001,24.915092000000001,0.93956600000000001,0.93956600000000001,8063.3095700000003,2810.123779,9574.4052730000003,1.0051000000000001,1.60077,0.18784000000000001,0.10042,1,1,0.84228999999999998,0.604545,1.120752,997.12701400000003
1998,2,"Forestry, fishing, and related activities",41883,20973,193.009659,22.937215999999999,0.97175,0.97175,8338.2558590000008,3089.9270019999999,9263.9257809999999,1.10721,1.92913,0.20265,0.10087,1,1,0.82345000000000002,0.62431700000000001,1.103853,1024.9460449999999
1999,2,"Forestry, fishing, and related activities",45299,23425,192.926422,24.098907000000001,0.97190200000000004,0.97190200000000004,8114.9770509999998,3785.584961,9754.46875,1.2190300000000001,2.1777700000000002,0.22563,0.11876,1,1,0.79817000000000005,0.77754599999999996,1.0775699999999999,1069.369019
2000,2,"Forestry, fishing, and related activities",39217,16744,215.72843900000001,31.311499000000001,1.084613,1.084613,8862.5429690000001,3451.7561040000001,9909.4912110000005,1.05589,1.55067,0.25724999999999998,0.14885000000000001,1,1,0.80320999999999998,0.75965000000000005,1.057701,1076.474976
2001,2,"Forestry, fishing, and related activities",38898,16965,213.06487999999999,37.903419,1.0784180000000001,1.0784180000000001,8532.6220699999994,3606.0466310000002,9541.2060550000006,1.09372,1.6047800000000001,0.29220000000000002,0.18412999999999999,1,1,0.79205000000000003,0.74505399999999999,0.94403499999999996,1012.151001
2002,2,"Forestry, fishing, and related activities",39439,17672,199.964157,44.104850999999996,1.033785,1.033785,8342.828125,3930.6142580000001,9247.4208980000003,1.1308199999999999,1.6823999999999999,0.3387,0.23335,1,1,0.78159000000000001,0.76992499999999997,0.902563,968.73498500000005
