,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1947,1,Farms,30575,11516,0.35693200000000003,0.35693200000000003,0.35693200000000003,0.35693200000000003,5273.3056640000004,599.12518299999999,13186.569336,0.27801999999999999,0.38551000000000002,7.6000000000000004E-4,1,1,1,0.90466999999999997,0.60788200000000003,4.6980040000000001,26382.326172000001
1948,1,Farms,34614,12515,0.37209999999999999,0.37209999999999999,0.37209999999999999,0.37209999999999999,6354.0029299999997,712.32843000000003,15031.180664,0.30347000000000002,0.38363000000000003,7.6000000000000004E-4,1,1,1,0.97289999999999999,0.62589300000000003,4.5275429999999997,25877.791015999999
1949,1,Farms,29033,11448,0.22323899999999999,0.22323899999999999,0.22323899999999999,0.22323899999999999,2918.8032229999999,671.82568400000002,13993.477539,0.29476000000000002,0.38002999999999998,7.6000000000000004E-4,1,1,1,0.97568999999999995,0.62255199999999999,4.5594580000000002,25236.378906000002
1950,1,Farms,31220,12495,0.33996799999999999,0.33996799999999999,0.33996799999999999,0.33996799999999999,4794.6162109999996,705.39733899999999,13223.626953000001,0.31145,0.40244999999999997,7.6000000000000004E-4,1,1,1,0.98295999999999994,0.67140200000000005,4.2008400000000004,24029.044922000001
1951,1,Farms,36410,14750,0.40201599999999998,0.40201599999999998,0.40201599999999998,0.40201599999999998,6827.9477539999998,720.90667699999995,14109.538086,0.30875999999999998,0.42848000000000003,7.6000000000000004E-4,1,1,1,1.0489999999999999,0.60599599999999998,4.0001870000000004,22870.294922000001
1952,1,Farms,35741,14953,0.37301800000000002,0.37301800000000002,0.37301800000000002,0.37301800000000002,6060.6376950000003,731.50439500000005,13994.365234000001,0.31902999999999998,0.43026999999999999,7.6000000000000004E-4,1,1,1,1.0459000000000001,0.59251799999999999,3.8215690000000002,21789.136718999998
1953,1,Farms,32216,13543,0.35528300000000002,0.35528300000000002,0.35528300000000002,0.35528300000000002,5096.6689450000003,680.39166299999999,12894.518555000001,0.32483000000000001,0.42037999999999998,7.6000000000000004E-4,1,1,1,1.01034,0.561365,3.566106,20390.419922000001
1954,1,Farms,32167,13971,0.359041,0.359041,0.359041,0.359041,4924.5649409999996,658.11999500000002,12611.878906,0.33656999999999998,0.43542999999999998,7.6000000000000004E-4,1,1,1,1.0058,0.53930900000000004,3.4803419999999998,19629.564452999999
1955,1,Farms,31611,14341,0.31362800000000002,0.31362800000000002,0.31362800000000002,0.31362800000000002,4075.6196289999998,635.43249500000002,12557.693359000001,0.34761999999999998,0.45549000000000001,7.6000000000000004E-4,1,1,1,1.0405500000000001,0.52183999999999997,3.5438499999999999,19794.875
1956,1,Farms,31595,14526,0.37431799999999998,0.37431799999999998,0.37431799999999998,0.37431799999999998,4939.6650390000004,579.46264599999995,11548.375,0.35238000000000003,0.46855999999999998,7.6000000000000004E-4,1,1,1,1.07995,0.48857099999999998,3.3622529999999999,18714.535156000002
1957,1,Farms,31813,14894,0.27904000000000001,0.27904000000000001,0.27904000000000001,0.27904000000000001,3712.7849120000001,643.39520300000004,12561.703125,0.34971999999999998,0.48241000000000001,7.6000000000000004E-4,1,1,1,1.0836300000000001,0.46220699999999998,3.0965829999999999,17345.371093999998
