Table 6.8D. Persons Engaged in Production by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands],,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1998 to 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published September 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37,      Nondurable goods,N4637C,2274,2311,2341,2349,2353,2375,2381,2429,2463,2498,2487,2371,2350,2356,2375,2419,2453,2470,2468,2462,2420,2416,2301,2320,2406
38,    Retail trade,N4638C,13295,13627,13999,14401,14206,14153,14183,14476,14495,14610,14288,13419,13245,13400,13590,13715,13962,14335,14516,14565,14511,14374,13692,14257,14349
39,      Motor vehicle and parts dealers,N4639C,1567,1612,1665,1732,1736,1750,1768,1789,1777,1769,1690,1490,1463,1511,1566,1608,1662,1739,1784,1801,1816,1836,1718,1758,1794
40,      Food and beverage stores,N4640C,2606,2645,2668,2729,2676,2613,2564,2578,2576,2603,2617,2537,2501,2506,2565,2600,2669,2742,2765,2778,2749,2748,2783,2816,2815
41,      General merchandise stores,N4641C,2240,2291,2377,2482,2463,2462,2497,2588,2608,2659,2673,2600,2563,2652,2672,2650,2692,2758,2799,2723,2705,2653,2585,2693,2718
42,      Other retail\3\,N4642C,6882,7079,7288,7458,7331,7327,7354,7521,7535,7579,7308,6792,6718,6730,6787,6856,6939,7096,7168,7263,7241,7137,6606,6990,7022
43,    Transportation and warehousing,N4643C,4402,4477,4563,4571,4428,4373,4489,4623,4691,4730,4697,4382,4289,4394,4543,4590,4788,5032,5143,5354,5581,5965,5953,6409,6920
44,      Air transportation,N4644C,532,554,577,588,538,506,492,481,462,469,473,439,427,434,440,428,431,443,451,469,485,488,448,445,492
45,      Rail transportation,N4645C,212,207,198,191,184,180,180,188,192,190,189,177,175,183,188,188,193,196,179,173,172,166,147,139,143
46,      Water transportation,N4646C,50,50,50,52,52,54,54,59,59,63,65,63,61,62,63,64,67,67,63,61,61,64,56,61,63
47,      Truck transportation,N4647C,1560,1584,1611,1583,1558,1529,1601,1644,1675,1674,1594,1453,1393,1441,1507,1519,1587,1624,1610,1609,1642,1704,1635,1707,1754
48,      Transit and ground passenger transportation,N4648C,413,422,419,424,426,425,430,452,461,463,473,475,479,492,492,487,514,549,581,622,631,667,488,505,585
49,      Pipeline transportation,N4649C,48,45,44,43,41,39,36,36,38,40,39,39,40,40,45,42,45,46,46,47,47,48,49,46,47
50,      Other transportation and support activities\4\,N4650C,1126,1142,1173,1192,1126,1123,1148,1180,1191,1196,1223,1130,1113,1129,1163,1183,1241,1309,1329,1393,1461,1638,1735,1913,2046
51,      Warehousing and storage,N4651C,461,473,492,497,504,517,549,583,613,634,642,606,600,612,645,678,710,798,884,980,1083,1190,1396,1593,1790
52,    Information,N4652C,3171,3320,3545,3536,3296,3123,3029,2983,2978,2988,2921,2772,2652,2650,2652,2657,2697,2737,2752,2756,2772,2781,2678,2803,3021
53,      Publishing industries (includes software),N4653C,951,973,1007,965,913,870,851,854,864,872,831,756,714,720,714,693,702,709,706,697,701,724,748,752,856
54,      Motion picture and sound recording industries,N4654C,370,378,368,390,386,390,378,367,365,372,388,383,385,384,390,395,402,432,451,450,457,462,333,417,479
55,      Broadcasting and telecommunications,N4655C,1407,1477,1582,1632,1512,1402,1352,1317,1295,1359,1319,1271,1194,1168,1139,1137,1134,1088,1078,1054,1019,983,933,903,890
56,      Information and data processing services,N4656C,443,492,587,549,486,461,448,445,454,386,384,362,359,378,408,432,459,508,518,555,595,612,664,730,797
57,    Finance and insurance,N4657C,5639,5722,5720,5876,5865,5980,6038,6129,6281,6268,6120,5821,5747,5804,5899,5935,5993,6128,6217,6329,6415,6512,6591,6679,6792
58,"      Federal Reserve banks, credit intermediation, and related activities",N4658C,2442,2481,2441,2562,2627,2723,2776,2849,2892,2850,2705,2562,2505,2509,2554,2577,2533,2539,2579,2618,2625,2640,2656,2703,2701
59,"      Securities, commodity contracts, and investments",N4659C,889,918,975,945,887,881,890,912,949,998,1011,933,910,915,911,912,938,969,979,993,1040,1020,1029,1061,1105
60,      Insurance carriers and related activities,N4660C,2291,2307,2288,2352,2336,2360,2356,2351,2423,2412,2397,2319,2327,2375,2431,2442,2517,2614,2648,2705,2735,2836,2888,2894,2958
61,"      Funds, trusts, and other financial vehicles",N4661C,17,17,17,16,15,16,16,17,17,8,8,7,5,4,3,3,6,7,10,12,14,16,18,21,27
62,    Real estate and rental and leasing,N4662C,2188,2219,2245,2327,2321,2384,2448,2472,2540,2499,2438,2251,2187,2183,2237,2319,2314,2348,2435,2490,2586,2647,2564,2718,2817
63,      Real estate,N4663C,1583,1603,1617,1672,1696,1768,1831,1852,1905,1880,1826,1710,1685,1686,1727,1799,1795,1815,1888,1930,2022,2070,2077,2224,2279
64,      Rental and leasing services and lessors of intangible assets\5\,N4664C,605,616,628,656,625,616,617,620,635,619,611,540,502,497,510,520,519,534,547,560,564,577,487,493,538
65,"    Professional, scientific, and technical services",N4665C,6901,7201,7576,7780,7491,7523,7688,7935,8255,8489,8646,8255,8241,8440,8695,8924,9081,9337,9630,9768,10105,10408,10183,10663,11293
66,      Legal services,N4666C,1188,1207,1223,1268,1272,1325,1329,1338,1351,1321,1331,1282,1262,1279,1280,1287,1278,1243,1269,1265,1299,1286,1261,1295,1285
67,      Computer systems design and related services,N4667C,1102,1218,1338,1363,1218,1194,1220,1282,1347,1431,1514,1476,1517,1570,1662,1756,1816,1931,2032,2088,2165,2241,2237,2357,2532
68,"      Miscellaneous professional, scientific, and technical services\6\",N4668C,4612,4776,5015,5149,5001,5004,5139,5316,5557,5737,5801,5498,5462,5591,5754,5881,5987,6163,6329,6415,6641,6881,6685,7011,7476
69,    Management of companies and enterprises\7\,N4669C,1581,1614,1626,1636,1626,1664,1672,1745,1771,1811,1821,1798,1793,1826,1885,1978,2004,2071,2130,2182,2240,2251,2255,2275,2476
70,    Administrative and waste management services,N4670C,7643,8026,8383,7944,7765,7649,7989,8226,8435,8616,8282,7500,7742,8021,8307,8529,8802,9057,9258,9449,9511,9477,8852,9411,9767
71,      Administrative and support services,N4671C,7338,7718,8072,7619,7435,7322,7660,7885,8084,8252,7915,7149,7381,7648,7926,8141,8402,8650,8839,9022,9076,9025,8403,8948,9288
72,      Waste management and remediation services,N4672C,306,309,311,326,330,328,330,341,351,364,367,351,361,373,381,389,400,406,419,428,435,451,449,463,479
73,    Educational services,N4673C,2186,2257,2338,2438,2558,2601,2688,2739,2805,2869,2979,3026,3082,3138,3196,3277,3304,3360,3408,3482,3568,3618,3507,3500,3667
74,    Health care and social assistance,N4674C,12109,12318,12589,12876,13279,13614,13821,14129,14652,14932,15286,15531,15791,15963,16615,16967,17294,17763,18197,18604,19095,19399,18941,19362,19667
75,      Ambulatory health care services,N4675C,4128,4149,4251,4390,4540,4765,4852,4997,5228,5347,5450,5579,5753,5910,6079,6209,6389,6592,6761,6987,7239,7398,7212,7622,7811
76,      Hospitals,N4690C,3449,3508,3536,3770,3884,3942,3992,4074,4159,4260,4357,4403,4416,4434,4500,4512,4513,4641,4735,4821,4873,4922,4890,4879,4896
77,      Nursing and residential care facilities,N4691C,2320,2356,2404,2473,2520,2554,2573,2605,2664,2688,2760,2803,2854,2881,2912,2936,2981,2999,3051,3052,3098,3087,2951,2834,2775
78,      Social assistance,N4692C,2212,2305,2398,2243,2334,2354,2404,2453,2601,2638,2719,2747,2768,2738,3123,3310,3411,3531,3650,3744,3885,3992,3888,4027,4184
79,"    Arts, entertainment, and recreation",N4693C,1691,1744,1838,1877,1908,1930,1935,2013,2012,2079,2089,2004,1976,1991,2040,2134,2224,2243,2318,2362,2450,2499,1839,2105,2391
80,"      Performing arts, spectator sports, museums, and related activities",N4694C,677,683,712,716,733,756,745,785,780,800,814,773,746,765,783,822,841,850,869,885,912,919,694,779,939
81,"      Amusements, gambling, and recreation industries",N4695C,1014,1061,1125,1161,1175,1174,1190,1229,1232,1279,1275,1232,1230,1226,1256,1312,1383,1394,1449,1477,1538,1580,1145,1326,1452
82,    Accommodation and food services,N4696C,8254,8508,8717,8595,8608,8730,8759,9192,9484,9636,9620,9130,9109,9389,9795,10049,10333,10821,11135,11395,11586,11815,9198,10106,11184
83,      Accommodation,N4697C,1621,1666,1708,1724,1668,1657,1481,1717,1726,1745,1760,1595,1585,1636,1664,1713,1734,1777,1798,1825,1864,1916,1290,1392,1652
84,      Food services and drinking places,N4698C,6633,6843,7008,6871,6940,7073,7279,7475,7759,7892,7859,7535,7523,7754,8131,8335,8600,9044,9337,9569,9721,9899,7909,8714,9532
85,"    Other services, except government",N4699C,6483,6562,6651,6607,6826,6868,6881,6847,6916,6971,6969,6734,6579,6509,6697,6725,6912,6981,6952,7009,7248,7337,6650,6857,7199
86,  Government,A4376C,18701,18844,19101,19431,19816,19921,19957,19998,20031,20259,20571,20608,20564,20275,20035,19920,20031,19993,20276,20375,20538,20772,20307,20250,20502
87,    Federal,A4377C,4205,4162,4171,4134,4196,4253,4210,4165,4155,4207,4284,4339,4400,4340,4279,4201,4135,4137,4167,4149,4165,4219,4290,4322,4349
88,      General government,A4378C,3417,3370,3391,3356,3409,3486,3474,3439,3437,3444,3525,3660,3780,3749,3705,3654,3590,3576,3574,3588,3608,3666,3745,3748,3738
89,        Civilian,B4379C,1846,1821,1844,1808,1832,1884,1882,1889,1890,1902,1959,2075,2181,2158,2140,2108,2091,2102,2114,2121,2132,2167,2240,2242,2267
90,        Military\8\,B4380C,1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585,1599,1591,1565,1546,1499,1474,1460,1467,1476,1499,1505,1507,1471
91,      Government enterprises,B4381C,788,792,780,778,787,767,736,726,718,763,759,679,620,591,574,547,545,562,592,562,557,552,545,574,611
92,    State and local,A4382C,14496,14682,14930,15297,15620,15668,15747,15833,15876,16052,16287,16269,16164,15935,15756,15719,15896,15856,16109,16226,16373,16553,16017,15928,16153
93,      General government,A4383C,13548,13726,13961,14279,14550,14590,14650,14731,14770,14937,15159,15145,15038,14828,14668,14657,14812,14790,15025,15139,15273,15443,14953,14857,15041
94,        Education,B4384C,7234,7372,7572,7742,7925,7959,7954,8038,8049,8138,8250,8266,8178,8123,8024,8166,8252,8250,8392,8466,8530,8629,8239,8078,8070
95,        Other\9\,B4385C,6314,6354,6389,6537,6625,6631,6696,6693,6721,6799,6909,6879,6860,6705,6644,6491,6560,6540,6633,6673,6743,6814,6714,6779,6971
96,      Government enterprises\9\,B4386C,948,956,969,1018,1070,1078,1097,1102,1106,1115,1128,1124,1126,1107,1088,1062,1084,1066,1084,1087,1100,1110,1064,1071,1112
97,Rest of the world\10\,A4387C,-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-1100,-802,-822,-826,-979,-1066,-1196,-1255,-1404,-1463,-1436,-1485,-977,-1335,-1724
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid family workers are not included.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. NAICS crop and animal production.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of furniture and home furnishings stores; electronics and appliance stores; building material and garden equipment and supplies dealers; health and personal care stores; gasoline stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music stores; miscellaneous store retailers; and nonstore retailers.",,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional, scientific, and technical services.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and regional managing offices.",,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Includes Coast Guard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Employees of Indian tribal governments are classified in state and local government.,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Estimates in this table are based on the 2017 North American Industry Classification System (NAICS).,,,,,,,,,,,,,,,,,,,,,,,,,,,
