Dataset,Table,Line,Label,Unit,Year,Value
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1993,442540.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1994,466805.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1995,491592.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1996,512024.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1997,530862.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1998,554025.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1999,581090.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2000,622886.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2001,656001.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2002,685706.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2003,714954.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2004,756322.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2005,800168.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2006,841190.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2007,879846.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2008,911052.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2009,921150.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2010,914983.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2011,931386.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2012,950885.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2013,967679.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2014,981351.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2015,1.006754e6
