Dataset,Table,Line,Label,Unit,Year,Value
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1929,42708.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1930,42341.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1931,40039.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1932,34744.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1933,39787.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1934,47435.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1935,47721.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1936,54634.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1937,58128.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1938,60704.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1939,62538.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1940,66075.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1941,82658.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1942,122468.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1943,161591.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1944,183988.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1945,201825.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1946,205567.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1947,217519.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1948,217840.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1949,203931.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1950,216205.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1951,243401.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1952,261036.99999999997
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1953,268009.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1954,284736.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1955,308296.0
FixedAssets,FAAt101,09,Current-cost net stock of government fixed assets,Millions of dollars,1956,343017.0
