"Variable","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ADJUSTED GDI",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,NaN,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"  NIPA GDI",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8556259958300951,0.8583236673051435,NaN,0.8598013821973708,0.862459137044246,0.8616216303175801,0.8618686225152662,0.8569296010969726,0.8576550073863342,0.8590409707885173,0.8599932883923662,0.8550975684232177,NaN,0.8552503389366245,0.8558696362170134,NaN,0.8471936132172994,NaN,0.847277262973975,0.846928756351739,0.8402240774606987,0.8410979761899086,0.8506669359343398,0.8576567061226725,0.8514371775470857,0.8595623070729108,0.8570742623992462,0.8498714252326648,0.8546470895949765,0.8623171720153985,0.8529391454721968,0.8499477941675123,0.8521398533870527,0.8509716935883322,0.8467486080595394,0.8508277874317324,0.8571654827642259,0.862991404677974,0.8709035022644583,0.8791792833556438,0.8789279904168269,0.8856897898498541,0.8845927985188221,0.8785702229543608,0.8739357563477039,0.8733817312078643,0.8756179207317689,0.8846459658527395,0.8702356958668388,0.8589671201249648,0.8550859830495291,0.8650243207283145,0.872673101153771,0.8804793270507887,0.8763206168483415,0.8843206675731462,0.882691950035644,0.8773106058221225,0.8780025489575809,0.8818968364381211,0.8841087364679828,0.8787462014524146,0.8820452464114743,0.8837683180343816
"      +NIPA statistical desc.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0003281693095958973,-0.0020665189363468757,NaN,-4.1285203739581116e-5,-0.0019802659402989257,-6.293711051099182e-5,0.0008635573827806501,0.005386467338551956,0.003362135786602043,0.002870745267269988,0.001339888286515696,0.004274026602223048,NaN,0.004819067504722136,0.003705146899814358,NaN,0.006762603567060026,NaN,0.007989732343109684,0.008484659984995029,0.014642818506986063,0.013236728633831428,0.010118868081637354,0.0022238985381874024,0.013531359569279389,0.008909899040306188,0.010815571847055734,0.015080845801225928,0.007745200949742175,0.0004651319167725311,0.010379573174167302,0.013812148308816684,0.01302525070608826,0.015347158291390411,0.01963413446924477,0.016574619846489218,0.0104659779918737,0.006139374699847097,0.0010424658294507813,-0.005437593025864136,-0.002667220638031919,-0.008197584095995985,-0.009651538325607173,-0.00651659947268782,-0.0018417088388756925,-0.0020041291994361736,-0.003810847520951213,-0.013232562157388158,0.0007397819949094576,0.011265105275557269,0.011475087695283876,0.004010247984681077,-0.0013569865406349725,-0.008244815426658409,-0.0015435975860200195,-0.007022119959569686,-0.00446304950919404,0.0024753422004092297,0.003050425654635015,0.002716812937690047,0.0023473822101281595,0.004985462715336111,0.0014085724987344024,-1.346597047276929e-5
"      +FA durable depreciation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0572327275935245,0.05893604654828232,NaN,0.055736448676149665,0.05535835460917446,0.05463822311901243,0.053234883988562735,0.051969179663549296,0.05290507890531625,0.05363428135154212,0.05445041912290254,0.055522311859227236,NaN,0.05444598200919011,0.05364321812812282,NaN,0.05634151431703724,NaN,0.05628307954576443,0.05616535715597802,0.05615634615738339,0.05761280905375669,0.055790392588356996,0.0551605527682396,0.05222866775103862,0.05092277353878977,0.05228026446923543,0.054386272848206775,0.05585532349633813,0.05566984812171526,0.05564199833607728,0.056065400999027605,0.057185110302909445,0.0558075342893765,0.0559022702697007,0.05556396487852807,0.05582914897544572,0.05512313801031985,0.05396445589019021,0.05341328125661562,0.05286857826968099,0.05331969265617453,0.054239859446043266,0.054713742598492404,0.05442411759897214,0.05394380598512281,0.05349962698290244,0.053057785621822305,0.0529440563765338,0.05367868768276891,0.05513392984827218,0.05283762303646693,0.05202215542851798,0.0510272083426825,0.05014627080411812,0.048894312788730465,0.04832793333095777,0.0480975425074394,0.04818344582534702,0.04772379129998778,0.047863402700078425,0.05037501939788316,0.05065673987167606,0.05235715172893387
"      +Misreported S corp inc",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00040717819197542754,0.0004560803326513892,NaN,0.0006123758922591043,0.0006749782238009823,0.0007474964169826997,0.0008359814893242506,0.0008900508897569069,0.0009334813306541588,0.0009578862774876943,0.0010205651802461726,0.0009861395505683386,NaN,0.0009652814742482725,0.0010311016806713133,NaN,0.0009022239516091667,NaN,0.0009793641515830679,0.0009836352092126345,0.0007546077016137918,0.0006254453058865396,0.0004566648831262297,0.00048598013636550835,0.0006690467926903786,0.0007542569286136889,0.0007516213001819267,0.0008929986573288179,0.0022848231289872936,0.0028942945581541544,0.002924012147012382,0.0030428924722353096,0.0029047401516152393,0.0035536412671099953,0.0037603789743361786,0.004096782706491867,0.0041241942008698185,0.004534710347670507,0.004909006279826462,0.005155322131361536,0.005361587748054898,0.005285425023048507,0.005187483779733505,0.005300128475713283,0.0055531638125036606,0.00612422697148087,0.006960681184587594,0.007038953122868312,0.006758841909476295,0.006093224043946928,0.005781236134689041,0.006220484451803235,0.006468111071806523,0.007367245218203483,0.007222529316619393,0.007483203625454971,0.007691312410184258,0.00784456480054421,0.007624859292841435,0.007311638168680959,0.007265911624828166,0.0077744354254997835,0.008953944377479551,0.00828875029174257
"      +Imputed Kcd services",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011828272059626848,0.01170884261752487,NaN,0.011087725151627722,0.011060547955680792,0.010845222183877293,0.01059365241989024,0.010580713803688,0.010890276204459808,0.011070979185270417,0.011163004594703136,0.011345851195382017,NaN,0.011014073926182519,0.010952182664170003,NaN,0.011717778044956688,NaN,0.01158718245751569,0.011568936651231857,0.011655895675588338,0.011850792016874553,0.011388735028934949,0.011339866429522245,0.011187751893743996,0.010923261331423654,0.011018233805101245,0.011501271593153761,0.011741955548219522,0.011865236743824637,0.01178671324611228,0.011814189297637749,0.011899334727696293,0.011657345893203894,0.011632927186141628,0.011541830748580287,0.0114899348629342,0.011316633044413688,0.011051707336050218,0.010928068598607706,0.010885393614234967,0.01096294640624851,0.01112676103446936,0.011254428208644656,0.011197933814264836,0.011121441366165176,0.010981889467765911,0.010844451530287727,0.010770679463864964,0.010761631458813788,0.010917572726300426,0.01047648513500871,0.010377004262451348,0.010147517977779899,0.009902684029961209,0.009669260886914098,0.009582741852719179,0.009612851946114047,0.009465719415439293,0.009372841900333889,0.009335934827563504,0.009959306217483975,0.010420123954695921,0.010364815135736373
"      +Imputed Kg services",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025797783230505,0.025857345818298787,NaN,0.026325268147832318,0.026383027777746725,0.02595763081008824,0.025627547212431736,0.025338892227648447,0.025975552707947817,0.025891098544614428,0.026437020065302557,0.02784769335845743,NaN,0.027637577392492584,0.028062772970373896,NaN,0.0302161621810461,NaN,0.027595733581923673,0.026876289062283263,0.027267509579507514,0.028627620485330723,0.028228872008282738,0.028658193422345817,0.02730824012401002,0.026039068633396775,0.02511369702227513,0.02505429218201654,0.02485003630099487,0.02432331154896734,0.023806922510566125,0.02364512902084764,0.023672952014912,0.023324789475180584,0.023130837012146164,0.022961979145823246,0.022925743189224808,0.022530147589476166,0.022218711087874505,0.021963005215819866,0.02188574447436181,0.02170491542626895,0.0218351349518848,0.022012196904349714,0.02191030627710537,0.02274994689120204,0.023295567747259206,0.02423721326949893,0.024917258444646307,0.02600758024625471,0.026544204938135866,0.02659653979561057,0.02709959149154028,0.026866454523609428,0.02683541734504866,0.026401088426907027,0.02581150029011258,0.025895055871529935,0.02588923773496914,0.025966487810951223,0.0258298466484796,0.026881922888433,0.027025872572968058,0.02719967428753979
"      +Imputed private IPP inv",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10271449981676292,0.10275104724831391,NaN,0.10317121163923575,0.10325730254752966,0.1033870431848483,0.10352772211685587,0.10347792821226294,0.10332217732854697,0.10342940592669446,0.10335998120146582,0.10312459140305293,NaN,0.10320832877296159,0.10314897397401933,NaN,0.10247474601412312,NaN,0.10263203943805015,0.1026496099604081,0.10258398847120916,0.1025201645788488,0.10329429648191726,0.1031856725593032,0.10379625301620038,0.10421666473358604,0.10414678010955625,0.1037942725240669,0.10348707486536625,0.10353387647186053,0.10359826460090599,0.10365119309715948,0.10381979563219335,0.10395826222556673,0.10396592910345409,0.10408827458974398,0.10411577529073195,0.10429569352533852,0.10463350397274157,0.10484901440871527,0.10515129237345541,0.10529906469046296,0.1049929512231858,0.10464643481780077,0.10465129483576471,0.10456531224101137,0.10461685680855728,0.10456960844344215,0.10451706456431749,0.10442786704806264,0.10398732848937756,0.10428414824555945,0.10455794045612354,0.10466814139489562,0.10497323609293659,0.10527582571362915,0.10538746806317399,0.1055743137627038,0.10572635695346588,0.10615363792509733,0.10637473424137331,0.10604779970013008,0.10601445826922505,0.10605057817735053
"      -NIPA private IPP inv",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010878812613103996,0.011275078871955222,NaN,0.011957049179611785,0.01247689031096317,0.012345743597836155,0.012941738165898437,0.013571650239744564,0.014020246402557595,0.014277674035940298,0.014517854636966025,0.014369793074203264,NaN,0.013835907917492313,0.013677805474396069,NaN,0.014095388428652208,NaN,0.014714533285333174,0.014680553383684,0.01564009066048499,0.016251844322640013,0.017385396346204146,0.018688668173477255,0.019361150069373674,0.02044439282483216,0.021067682644156663,0.021444801057115968,0.02133522663179065,0.021860046732511084,0.02297208212222788,0.023817065679046633,0.02516610723240663,0.024934249459530468,0.024874198588483085,0.024485139180894844,0.025762800484814413,0.027269925291447374,0.029272806446803,0.03067037320164631,0.03321988913571704,0.03521104834190875,0.03431658071326995,0.03241320033052763,0.03186915994247921,0.031226941954088976,0.03163397250693425,0.031936726196779,0.03278460588275012,0.033842392471537884,0.03377848759223992,0.033387646011995946,0.0347266232915663,0.03518625413737921,0.03599494207714505,0.03694216040401944,0.03738908649469787,0.03943999702017395,0.04071214467630355,0.042491613849243465,0.044235884599975926,0.0469748780948135,0.04703127056939266,0.048290598242762994
"      -NIPA sales tax",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04305581341898173,0.04469143206191268,NaN,0.04473607732112403,0.044736191906916634,0.044788565324042205,0.043610228959213404,0.041001182992685584,0.041023463247303604,0.04261769330545624,0.04324631220653598,0.043828389317925695,NaN,0.043504742098929385,0.04273522705978914,NaN,0.041513252864479704,NaN,0.039629861206588464,0.03897669099216366,0.03764515289250213,0.03931969194179734,0.04255936866039113,0.04002220180315911,0.04079734662467483,0.04088383845419497,0.040132748308495274,0.039136577781547825,0.039276277252834293,0.03920882464418196,0.03810454736481032,0.038161681684189784,0.039480929690060854,0.03968617557062974,0.039900886486079944,0.04117010016649439,0.04035345679049146,0.03966117660359252,0.039450546213789024,0.039380008739253194,0.0391934771228661,0.03885320161415266,0.038006869915261726,0.03756735415614621,0.03796170390495978,0.038655393509321435,0.03952772289495578,0.039224689486491736,0.03809877273783706,0.037358823408831274,0.0351468552893481,0.03606220336544839,0.037114294032009346,0.03712482494392196,0.03786221477386038,0.038080078651192784,0.03764076997889978,0.03737027989068929,0.037230449157975326,0.0386504326316188,0.03889006412045792,0.03779526970236739,0.03949368738686093,0.039725223442449026
