"Variable","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"  = Sweat income",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,766.6313824842878,770.2668530716799,858.3029218497354,857.2599464098488,881.5998040214687,939.8954891287315,1055.7994030546631,1177.0057149145705,1338.3116614355558,1293.3429277849782,1466.642456043186,1472.3118711617906,1403.7995728184467,1497.9607833269347,1481.4281827129605,1574.0135061354724,1704.5688200080872,1650.0857916287637,1684.7520562335894,1849.2983593328406,1890.63365030969,1860.7961789532262,1961.5274323598014,2127.647825130788,2561.1696794767354,2535.3149913490392
"    NIPA proprietors' income",14.015,10.872,8.315,5.012,5.268,7.007,10.124,10.393,12.521,10.598,11.12,12.234,16.65,23.341,28.225,29.346,30.824,35.671,34.579,39.279,34.69,37.514,42.594,43.04,42.017,42.255,44.272,45.819,47.785,50.158,50.346,50.587,53.199,55.234,56.398,59.132,63.662,67.933,69.475,73.832,77.005,77.803,83.904,95.094,112.521,112.213,118.238,130.974,144.492,165.974,179.438,171.569,179.68,171.191,186.25,228.247,241.051,256.479,286.468,325.524,341.13,353.154,354.162,400.155,427.984,456.644,481.186,543.784,583.958,640.276,696.352,753.559,831.057,870.133,897.509,962.895,979.14,1050.869,995.398,960.304,938.126,1108.503,1228.337,1299.922,1351.739,1369.965,1347.722,1349.214,1428.634,1495.331,1555.775,1599.507,1818.662,1868.919
"      -NIPA proprietors' IVA,CCadj",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1260000000000001,-0.04299999999999997,-1.563,-1.026,-0.43099999999999994,-0.677,-0.47100000000000003,-0.656,-0.8829999999999999,-0.7999999999999999,-0.749,-0.76,-0.653,-0.74,-0.625,-0.554,-0.508,-0.924,-1.195,-1.289,-1.472,-1.555,-1.865,-2.281,-1.9909999999999999,-3.209,-5.739999999999999,-5.035,-5.109,-5.1160000000000005,-5.692,-5.8469999999999995,-6.914,-2.537,-3.005,5.936999999999999,15.966000000000001,25.384999999999998,30.235,24.219,23.217,22.775,12.233,9.369,10.727999999999998,10.532,5.6129999999999995,5.026999999999999,11.605,21.502,28.404,36.95,44.906,67.5,83.95,88.728,91.41199999999999,55.976,62.955000000000005,67.55,129.858,130.625,134.762,182.15699999999998,156.587,187.84699999999998,199.53,228.435,242.388,294.876,348.52,368.89599999999996,399.82,374.111,419.569
"      -NIPA prop inc, other private",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.198,0.198,0.202,0.245,0.267,0.285,0.293,0.306,0.309,0.311,0.346,0.322,0.346,0.386,0.424,0.447,0.455,0.458,0.474,0.48,0.464,0.448,0.447,0.475,0.557,0.6,0.562,0.548,0.569,0.613,0.631,0.666,0.568,0.6,0.724,0.998,1.257,1.018,0.982,1.626,1.848,1.922,1.542,1.771,1.865,1.888,2.345,2.347,2.123,2.368,1.622,0.978,0.71,0.522,1.25,1.211,2.267,2.346,2.834,3.35,3.983,4.403,4.625,4.887,5.594,5.776,6.364,6.195,5.826,5.537,5.806,6.772,6.661,7.466,7.641
"      +IRS S corp comp (true)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0742048780487803,1.3354780487804876,NaN,1.8211792682926828,2.1322756097560975,2.4198658536585365,2.720470731707317,3.124101219512195,3.422960975609756,3.9498487804878044,4.808532926829268,5.3432865853658535,NaN,5.532708536585365,6.331503658536585,NaN,7.317603658536585,NaN,9.458187804878047,10.687187804878048,10.699408536585365,11.378915853658537,10.768480487804878,11.50845731707317,14.302289024390243,16.854037804878047,18.63700243902439,24.115528048780487,42.01033658536585,56.85399756097561,66.55654512195122,77.37744512195121,79.40697682926829,92.2541012195122,99.36275853658536,101.02611585365852,107.96923658536585,120.42551585365854,132.03692195121948,144.80556219512195,159.89266097560977,173.38175365853655,174.7099743902439,185.35216341463413,196.04220731707318,211.9319207317073,233.37092073170732,259.094493902439,273.76477926829267,281.81913780487804,267.2340170731707,270.3782987804878,286.63060365853653,301.2975902439024,309.7353682926829,321.2667609756097,332.7533731707317,339.42203902439024,357.5703195121951,352.4062865853659,358.1252012195122,369.6132914634146,414.75370853658535,426.77655365853656
"      +IRS S corp bus inc (true)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30441341463414634,0.26949999999999996,NaN,0.5685524390243902,0.645670731707317,0.8792670731707316,1.2754951219512194,1.540209756097561,1.7566670731707315,1.857891463414634,1.8900134146341463,1.4990939024390244,NaN,2.442753658536585,3.1674280487804873,NaN,2.572057317073171,NaN,3.7856670731707314,4.335539024390243,2.185030487804878,0.24214268292682925,-1.3162451219512195,-1.0094865853658537,1.3138268292682924,2.6271560975609756,2.23910487804878,2.151845121951219,29.45306463414634,40.73592195121951,39.59741097560975,39.329402439024385,35.45720975609756,56.33696219512195,66.01694024390243,90.18480609756098,93.77930365853658,113.58395365853657,136.24716829268291,152.26759146341462,167.49829878048777,169.64527682926828,173.84412317073168,183.6725219512195,209.23733658536582,265.09613414634146,345.00427926829263,360.88960121951214,350.2418951219512,292.71510487804875,269.37703170731703,328.0628621951219,356.7179475609756,461.41129878048775,464.56503048780485,513.146275609756,557.3759073170731,592.0946865853658,585.3640158536585,596.1118158536585,622.7318085365853,675.0775134146342,921.1527902439024,930.8158524390243
"      +NIPA statistical desc.",0.735,-0.446,0.737,0.273,0.518,0.373,-0.231,1.182,-0.045,0.681,1.289,1.065,0.318,-0.907,-1.825,2.533,3.832,1.231,2.864,-0.25,1.743,1.262,3.447,2.604,3.792,2.909,2.13,-2.033,-0.357,0.645,0.2,-1.309,-0.915,-0.029,-1.467,-0.05,0.743,5.081,3.358,3.133,1.583,5.338,9.517,7.167,6.144,7.45,13.343,20.655,19.448,23.325,45.003,44.27,37.7,8.648,56.85,41.423,54.072,79.848,43.605,2.823,67.828,95.355,92.712,115.51,155.43,139.247,92.156,57.027,10.255,-56.401,-29.316,-95.765,-116.73,-81.67,-24.194,-28.099,-56.997,-209.792,12.294,191.195,191.72,69.445,-24.295,-153.641,-29.787,-140.94,-92.973,52.909,67.902,63.44,57.039,120.586,37.828,-0.397
"      -Estimate of P-T cap inc",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.99570775961459,80.65530058685687,98.19603790636197,97.94508407795612,113.25929353950674,132.39219623712205,132.85614084777598,141.13933996347828,103.8845385644438,101.92916733697285,94.15621834705813,119.88037152113618,127.62947596204086,139.04137764867485,178.9183685065516,172.7953828889178,198.0605787724005,207.45824495660202,225.49622425421546,236.12736627691558,248.4236850561639,292.16692348579795,256.47557739629656,230.654979747261,249.64981930375222,263.58941474852173
"  + Nonsweat labor income",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.48715200000007,226.55090799999994,NaN,246.73363300000005,259.00553399999995,277.32971,298.91721399999994,329.8252370000001,350.077172,383.34212400000007,421.56000300000005,442.777505,NaN,515.245179,578.9291670000001,NaN,667.629565,NaN,840.763286,960.9155059999999,1090.7474849999999,1194.8812890000002,1320.725846,1380.1810650000002,1461.2521230000002,1619.3436890000005,1742.795658000001,1853.1552669999994,1969.0505240000005,2119.642722,2239.9336329999996,2358.379494999999,2404.047279,2546.628637,2648.5995380000004,2792.610585,2938.8832259999995,3108.5580770000006,3339.945724,3623.467439000001,3868.8890179999985,4210.529962,4312.551820999999,4288.721226,4399.276389999999,4657.076825,4909.220844999998,5212.288515000001,5496.474880999999,5554.012307,5189.554106,5293.319794999999,5543.890905000002,5836.564976,6031.154998,6362.014256000002,6704.848234000001,6888.563927999999,7250.2933379999995,7659.6838450000005,8041.056334999998,8069.309101000001,8886.771959000002,9615.974226
"    NIPA compensation",51.407,47.166,40.07,31.338,29.786,34.552,37.666,43.288,48.309,45.411,48.551,52.746,66.181,88.026,112.714,124.372,126.368,122.525,132.292,144.227,144.276,158.191,185.691,201.086,215.252,214.196,230.641,249.357,262.654,264.742,285.91,301.438,310.566,332.297,350.471,376.029,405.41,449.225,481.76,530.739,584.436,623.324,664.974,731.334,812.696,887.737,947.273,1048.384,1165.887,1316.864,1477.302,1622.345,1792.681,1893.175,2012.662,2216.083,2387.539,2543.845,2723.761,2948.854,3140.886,3342.68,3453.267,3671.211,3820.61,4010.207,4202.178,4421.067,4713.22,5075.701,5409.932,5854.629,6046.343,6143.368,6362.296,6729.301,7077.721,7491.255,7889.369,8068.679,7767.191,7932.969,8234.013,8575.371,8843.638,9259.655,9709.535,9977.096,10434.978,10967.687,11458.472,11605.744,12569.557,13462.215
