Item,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
     Proprietors' income with inventory valuation and capital consumption adjustments,14015,10872,8315,5012,5268,7007,10124,10393,12521,10598,11120,12234,16650,23341,28225,29346,30824,35671,34579,39279,34690,37514,42594,43040,42017,42255,44272,45819,47785,50158,50346,50587,53199,55234,56398,59132,63662,67933,69475,73832,77005,77803,83904,95094,112521,112213,118238,130974,144492,165974,179438,171569,179680,171191,186250,228247,241051,256479,286468,325524,341130,353154,354162,400155,427984,456644,481186,543784,583958,640276,696352,753559,831057,870133,897509,962895,979140,1050869,995398,960304,938126,1108503,1228337,1299922,1351739,1369965,1347722,1349214,1428634,1495331,1555775,1599507,1818662,1868919,1941958,2023080
     Rental income of persons with capital consumption adjustment,6065,5371,4440,3599,2858,2516,2564,2684,2966,3480,3716,3847,4415,5454,6024,6337,6578,6899,6889,7484,7798,8779,9720,10816,12028,13061,13423,13668,14054,14798,15559,16463,17200,18046,18728,18831,19336,19910,20345,20096,20348,20664,21828,22719,23117,23181,22292,20308,15867,16545,16093,18978,23780,23833,24435,24652,26204,18268,16594,22492,21524,28168,38577,60573,90079,113667,124882,142528,147059,165206,178497,183476,202403,208448,227098,242781,221105,181120,186259,290275,347592,433671,506541,534468,578687,598502,601351,618723,642028,671488,688432,743428,776719,871106,1002484,1078149
"     Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",10601,7361,2955,-156,-173,2457,3859,6126,6780,4707,6268,9606,15302,20411,24528,24549,20110,17552,23178,30132,27933,34790,39454,37777,38496,37498,47814,46825,46048,41334,52796,51543,52629,60271,66427,73239,84583,91594,89091,96111,91821,79144,92792,107678,118492,108236,124228,157790,186670,215700,214605,187655,216215,195169,242847,300699,314980,284091,322803,359258,351587,343243,372271,408200,453787,556125,623730,701602,782312,732405,745039,680747,618384,773589,918145,1125412,1304329,1456385,1258028,955428,1076888,1388685,1449878,1652370,1682298,1807956,1777928,1724401,1726343,1844577,1938296,1966263,2697790,2913118,3144250,3344161
       Taxes on corporate income,1365,842,498,383,521,744,951,1409,1502,1029,1441,2834,7610,11415,14074,12949,10689,9104,11193,12254,10010,17728,22304,19107,19944,17348,21789,21591,20880,18440,22816,21885,22203,23296,25491,26573,29768,32232,30992,37164,36958,31263,34808,39110,45632,47235,46264,59418,68504,77852,80737,75484,70315,51294,66419,81477,81610,91871,112702,124266,124422,121816,117813,131914,155047,172671,194449,211386,224762,221805,227386,233448,170148,160674,213763,278512,379749,430147,391782,255918,203933,272267,280763,334589,362418,406890,396125,376034,297156,297423,297195,311059,468876,600568,613010,680341
       Profits after tax with inventory valuation and capital consumption adjustments,9236,6519,2457,-539,-694,1713,2908,4717,5278,3678,4827,6772,7692,8996,10454,11600,9421,8448,11985,17878,17923,17062,17150,18670,18552,20150,26025,25234,25168,22894,29980,29658,30426,36975,40936,46666,54815,59362,58099,58947,54863,47881,57984,68568,72860,61001,77964,98372,118166,137848,133868,112171,145900,143875,176428,219222,233370,192220,210101,234992,227165,221427,254458,276286,298740,383454,429281,490216,557550,510600,517653,447299,448236,612915,704381,846901,924580,1026238,866246,699509,872955,1116418,1169115,1317781,1319880,1401066,1381803,1348367,1429187,1547154,1641101,1655204,2228914,2312550,2531240,2663820
         Net dividends,5573,5331,4070,2580,2040,2507,2685,4419,4538,2918,3582,3782,4200,4029,4208,4324,4372,5149,5707,6367,6599,8051,7663,7753,8094,8136,9151,9869,10399,10356,11619,12307,12193,13155,14442,16573,18171,19477,20237,22631,23422,23865,23694,25173,27448,29004,31786,35925,39627,46615,50978,59251,68438,72098,84246,89736,99909,103192,103163,113617,147709,168590,177803,178473,201111,220391,250774,283461,312727,344361,333669,383651,362060,379443,422953,517519,318392,637938,677861,660852,516582,514546,633083,765393,858891,898271,965924,953732,1043492,418955,937773,1167415,1544530,1644556,1741153,1880004
         Undistributed corporate profits with inventory valuation and capital consumption adjustments,3663,1188,-1613,-3119,-2734,-794,223,298,740,760,1245,2990,3492,4967,6246,7276,5049,3299,6278,11511,11324,9011,9487,10917,10458,12014,16874,15365,14769,12538,18361,17351,18233,23820,26494,30093,36644,39885,37862,36316,31441,24016,34290,43395,45412,31997,46178,62447,78539,91233,82890,52920,77462,71777,92182,129486,133461,89028,106938,121375,79456,52837,76655,97813,97629,163063,178507,206755,244823,166239,183984,63648,86176,233472,281428,329382,606188,388300,188385,38657,356373,601872,536032,552388,460989,502795,415878,394636,385695,1128198,703328,487789,684384,667994,790086,783816
   Current surplus of government enterprises,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,545,467,338,398,814,866,788,388,278,453,163,-1034,-1515,-936,-1958,-2446,-4068,-2385,-2958,-2377,-2699,-4481,-4717,-3417,-1884,-867,1871,2541,2748,5557,7258,3728,8218,10444,11431,12656,16507,17754,18079,16874,16829,11454,5658,7573,5121,355,-3449,-5905,-12871,-16728,-14556,-18546,-17842,-13646,-13643,-8475,-2847,-2154,-4253,-4592,-12141,-3062,-10931,-16012,-46918,-47460
 Consumption of fixed capital,10409,10217,9514,8338,8012,8430,8480,8801,9767,10042,10103,10577,12062,14911,18031,21341,23107,25690,29121,31326,32284,33394,37726,40606,43488,45981,48893,54127,58919,62454,65445,67901,70604,74100,78018,82390,88008,95311,103557,113357,124896,136839,148926,161011,178686,206894,238510,260226,289832,327196,373882,428432,487231,536963,562624,598394,640137,685295,730385,784496,838258,888532,932393,960247,1003498,1055610,1122381,1175306,1239325,1309737,1398934,1511225,1599511,1657984,1719098,1821841,1971053,2124170,2252751,2358968,2371277,2390391,2474368,2575548,2681603,2819685,2922938,3008109,3148953,3312603,3477516,3622850,3870788,4307374,4570723,4796699
   Private,9411,9221,8550,7465,7042,7288,7324,7509,8371,8580,8590,8976,9950,11246,11539,12038,12507,14247,17735,20820,22590,24334,27746,29544,31344,32958,34995,38811,42259,44910,46819,48209,49781,51795,54158,57276,61568,67172,73327,80603,89433,98260,107635,117493,131492,153159,178790,196512,221127,252115,290733,334977,381932,420392,438788,463516,496410,531572,566309,607913,649619,688396,721456,742886,778210,822507,880728,929111,987753,1052165,1132208,1231511,1311709,1361824,1411966,1497124,1622632,1751846,1852444,1931948,1928510,1933238,1997214,2081931,2176593,2301350,2397865,2475581,2599066,2737301,2879704,3005721,3211856,3578376,3800377,3992907
   Government,998,996,964,873,970,1142,1156,1293,1396,1462,1513,1601,2112,3665,6492,9303,10600,11444,11386,10505,9694,9060,9979,11062,12144,13022,13897,15316,16660,17544,18625,19693,20823,22305,23860,25114,26440,28139,30230,32754,35463,38579,41291,43517,47194,53735,59720,63714,68705,75081,83149,93454,105299,116571,123836,134879,143727,153723,164076,176583,188639,200135,210937,217361,225288,233102,241653,246195,251572,257571,266725,279713,287802,296160,307133,324717,348421,372324,400307,427020,442767,457152,477154,493618,505010,518335,525074,532528,549888,575302,597812,617129,658932,728998,770345,803792
 Addendum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Statistical discrepancy,735,-446,737,273,518,373,-231,1182,-45,681,1289,1065,318,-907,-1825,2533,3832,1231,2864,-250,1743,1262,3447,2604,3792,2909,2130,-2033,-357,645,200,-1309,-915,-29,-1467,-50,743,5081,3358,3133,1583,5338,9517,7167,6144,7450,13343,20655,19448,23325,45003,44270,37700,8648,56850,41423,54072,79848,43605,2823,67828,95355,92712,115510,155430,139247,92156,57027,10255,-56401,-29316,-95765,-116730,-81670,-24194,-28099,-56997,-209792,12294,191195,191720,69445,-24295,-153641,-29787,-140940,-92973,52909,67902,63440,57039,120586,37828,-397,325854,296298
