Item,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
   Exports,5939,4444,2906,1975,1987,2561,2769,3007,4039,3811,3969,4897,5482,4375,4034,4880,6781,14156,18740,15547,14484,12350,17099,16459,15313,15836,17677,21284,24017,20560,22725,27045,27602,29066,31074,35019,37146,40920,43467,47906,51922,59709,62963,70843,95269,126650,138706,149515,159349,186883,230129,280772,305239,283210,276996,302380,303211,320998,363943,444601,504289,551873,594931,633053,654799,720937,812810,867589,953803,952979,992910,1096111,1026812,997979,1035165,1176363,1301580,1470170,1659295,1835280,1582774,1857247,2115864,2217700,2287922,2378545,2270622,2235558,2388260,2538089,2539391,2163837,2568697,3036430,3073360,3215368
     Goods,5347,3929,2494,1667,1736,2238,2404,2590,3451,3243,3347,4124,4533,3389,2920,3589,5365,11764,16097,13265,12213,10203,14243,13449,12412,12929,14424,17556,19562,16414,16458,20453,20947,21709,23345,26767,27974,31089,32547,35721,38744,45037,46196,52586,75771,103494,112490,121484,128410,149907,187266,230428,245206,222550,214049,231286,227489,231447,265554,332054,374750,403265,430135,455308,467723,518371,592442,628785,699887,692565,711724,795054,739568,706582,733875,827975,919344,1043084,1159734,1291025,1057391,1272920,1468456,1529597,1563863,1616954,1496686,1447588,1546657,1669294,1644755,1421647,1747242,2070333,2024358,2057990
     Services,592,515,412,308,251,323,365,417,588,568,622,773,949,986,1114,1291,1416,2392,2643,2282,2271,2147,2856,3010,2901,2907,3253,3728,4455,4146,6267,6592,6655,7357,7729,8252,9173,9831,10920,12185,13178,14671,16767,18257,19498,23156,26216,28031,30939,36976,42863,50344,60033,60660,62947,71094,75722,89552,98389,112547,129539,148608,164795,177745,187076,202566,220369,238805,253916,260414,281187,301056,287244,291397,301290,348388,382236,427086,499561,544255,525382,584326,647408,688103,724059,761591,773936,787970,841603,868795,894635,742190,821455,966097,1049002,1157378
   Imports,5556,4121,2905,1932,1929,2239,2982,3154,3961,2845,3136,3426,4449,4627,6280,6904,7547,6974,7933,10060,9249,11612,14586,15295,16014,15432,17199,18923,19942,20022,22328,22841,22688,24965,26135,28104,31529,37057,39912,46556,50491,55760,62342,74216,91159,127465,122730,151146,182443,212250,252674,293828,317758,303184,328638,405107,417229,452867,508713,553993,591031,629728,623544,667791,719973,813424,902572,963966,1055774,1115690,1252460,1477184,1403559,1437724,1557120,1810504,2041482,2256623,2395228,2576151,2001927,2389555,2695480,2769317,2766375,2887445,2794942,2738830,2931589,3131166,3116681,2782391,3417930,3974319,3859856,4113828
     Goods,4463,3104,2120,1343,1510,1763,2462,2546,3181,2173,2409,2698,3416,2744,3442,3813,3893,5067,5973,7557,6874,9081,11176,10838,10975,10353,11527,12803,13291,12951,15310,15220,15053,16869,17713,19392,22247,26334,27761,33946,36813,40855,46550,56934,71843,104520,99000,124632,152629,177409,212787,248570,267814,250542,272677,336316,343295,370006,414768,452125,484792,508071,500720,544927,592761,676812,757449,807448,885654,930751,1051210,1251173,1176188,1198852,1299036,1513620,1722751,1900640,2002720,2148678,1588115,1947044,2231132,2293265,2293888,2389313,2289591,2218696,2369900,2559050,2516686,2305093,2839604,3256890,3092569,3267309
     Services,1093,1017,785,589,419,476,520,608,780,672,727,728,1033,1883,2838,3091,3654,1907,1960,2503,2375,2531,3410,4457,5039,5079,5672,6120,6651,7071,7018,7621,7635,8096,8422,8713,9282,10723,12151,12610,13678,14905,15792,17282,19316,22945,23730,26514,29814,34840,39887,45258,49944,52642,55961,68791,73934,82861,93945,101869,106239,121657,122824,122864,127212,136612,145123,156518,170120,184939,201251,226011,227371,238872,258084,296883,318732,355983,392507,427472,413812,442512,464349,476052,472487,498132,505351,520134,561688,572116,599995,477298,578326,717429,767287,846519
 Government consumption expenditures and gross investment,9622,10273,10169,8946,8875,10721,11151,13398,13119,14170,15165,15562,27836,65440,98023,108643,96396,43027,39827,43755,49808,50515,73304,89583,96765,92467,92958,98180,107163,114138,118458,120520,129237,140287,147193,154763,164053,185444,207018,225526,238984,252581,267468,286189,304765,341370,381128,404153,434331,476336,524802,589598,654381,711473,766557,827910,910516,976076,1031530,1078855,1151862,1238556,1298951,1344500,1364922,1402274,1449431,1492848,1547133,1611609,1719905,1826438,1950034,2089495,2210600,2338123,2475313,2623846,2790556,2983035,3076338,3155551,3147929,3136471,3132576,3168607,3233420,3303031,3397141,3590381,3785995,3999096,4208652,4458157,4741151,5041143
   Federal,1907,2017,2067,2006,2458,3457,3569,5777,5291,5915,6237,6837,19109,56699,89488,100086,87222,31986,25736,27041,30423,29418,49947,64815,70274,63255,61015,63115,68453,71521,73579,72875,77379,85518,87875,90256,93196,106575,120006,127963,131193,132805,134478,141646,146185,158835,173729,184800,200339,218922,240574,274870,313980,348336,382357,411805,452909,481658,502785,511440,534104,562377,582936,588453,580169,574684,576682,579159,583289,585515,610722,633069,670212,743097,826769,892123,947787,1001189,1051025,1151960,1220785,1300157,1299763,1287010,1227384,1217072,1222777,1237353,1266054,1346295,1419500,1524564,1604398,1640500,1765700,1892402
     National defense,1056,1090,1081,1051,999,944,1174,1401,1448,1513,1667,2791,15368,53491,86801,97272,84786,27995,21072,20887,22341,22649,43689,57413,61134,54448,52363,54958,59941,62220,60945,60901,64543,69701,70002,69728,70583,82471,95034,101357,102067,100710,97995,100714,102635,109894,117976,124952,134408,145181,160587,183405,213372,245404,272055,298764,329501,352359,372385,382101,391228,405007,414041,406465,391646,382114,377159,377261,371990,368753,383254,392570,413162,458932,521221,569878,609437,640814,679264,750336,787565,827971,833978,814175,764319,744053,730372,729434,748294,795065,849506,884863,909095,929596,1003971,1082721
     Nondefense,851,926,986,955,1459,2512,2395,4376,3843,4402,4570,4046,3741,3207,2687,2814,2435,3991,4663,6154,8082,6769,6258,7402,9140,8807,8653,8156,8513,9301,12633,11974,12836,15818,17873,20528,22613,24104,24972,26606,29126,32095,36483,40932,43550,48940,55753,59848,65931,73741,79987,91465,100608,102932,110302,113041,123408,129298,130400,129339,142876,157370,168896,181988,188523,192570,199523,201898,211299,216763,227468,240499,257050,284164,305548,322245,338350,360375,371761,401625,433220,472187,465785,472835,463065,473019,492405,507919,517761,551230,569993,639700,695303,710904,761729,809681
   State and local,7714,8256,8102,6940,6417,7264,7582,7622,7828,8256,8929,8725,8727,8742,8534,8558,9174,11041,14091,16714,19385,21097,23356,24768,26490,29212,31943,35065,38710,42617,44879,47645,51858,54768,59318,64507,70858,78869,87012,97563,107791,119776,132990,144544,158580,182536,207399,219353,233992,257414,284228,314728,340401,363137,384200,416106,457607,494418,528745,567416,617758,676179,716014,756047,784753,827591,872749,913688,963844,1026093,1109183,1193369,1279822,1346398,1383830,1446000,1527526,1622657,1739531,1831075,1855553,1855394,1848166,1849460,1905193,1951535,2010643,2065678,2131087,2244086,2366496,2474532,2604254,2817657,2975451,3148741
Gross domestic income,103822,92606,76653,59248,56636,66428,74471,83648,93048,86671,92148,101834,128991,166859,204909,221915,224176,226303,246753,274719,270731,298565,343468,364737,385426,387641,423348,451386,474395,480584,521454,543690,563124,603951,638918,684510,741547,808333,856600,937518,1016032,1067965,1155333,1271943,1419232,1537793,1671561,1852757,2062378,2328274,2582331,2813037,3169341,3335141,3577187,3996190,4284907,4499783,4811610,5233615,5573751,5867789,6065418,6404817,6703129,7147990,7547593,8016095,8567298,9119217,9660488,10346717,10698659,11010778,11480643,12245295,13096193,14025375,14461933,14578667,14286347,14979526,15624026,16407611,16910471,17749078,18387992,18752004,19544200,20593076,21482943,21254695,23687817,26055012,27485663,29001715
" Compensation of employees, paid",51407,47166,40070,31338,29786,34552,37666,43288,48309,45411,48551,52746,66181,88026,112714,124372,126368,122525,132292,144227,144276,158191,185691,201086,215252,214196,230641,249357,262654,264742,285910,301438,310566,332297,350471,376029,405410,449225,481760,530739,584436,623324,664974,731334,812696,887737,947273,1048384,1165887,1316864,1477302,1622345,1792681,1893175,2012662,2216083,2387539,2543845,2723761,2948854,3140886,3342680,3453267,3671211,3820610,4010207,4202178,4421067,4713220,5075701,5409932,5854629,6046343,6143368,6362296,6729301,7077721,7491255,7889369,8068679,7767191,7932969,8234013,8575371,8843638,9259655,9709535,9977096,10434978,10967687,11458472,11605744,12569557,13462215,14228378,15049121
