Dataset,Table,Line,Label,Unit,Year,Value
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1929,1056.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1930,1090.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1931,1081.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1932,1051.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1933,999.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1934,944.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1935,1174.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1936,1401.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1937,1448.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1938,1513.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1939,1667.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1940,2791.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1941,15368.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1942,53491.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1943,86801.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1944,97272.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1945,84786.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1946,27995.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1947,21072.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1948,20887.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1949,22341.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1950,22649.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1951,43689.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1952,57413.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1953,61134.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1954,54448.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1955,52363.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1956,54958.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1957,59941.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1958,62220.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1959,60945.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1960,60901.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1961,64543.00000000001
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1962,69701.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1963,70002.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1964,69728.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1965,70583.0
NIPA,T30905,17,Federal national defense consumption expenditures and gross investment,Millions of dollars,1966,82471.0
