Dataset,Table,Line,Label,Unit,Year,Value
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1929,
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1930,
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1931,7.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1932,10.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1933,61.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1934,228.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1935,300.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1936,398.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1937,440.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1938,449.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1939,465.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1940,533.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1941,621.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1942,642.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1943,700.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1944,751.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1945,806.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1946,1051.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1947,1330.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1948,1584.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1949,1609.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1950,1828.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1951,2118.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1952,2347.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1953,2509.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1954,2557.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1955,2838.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1956,3208.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1957,3512.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1958,3512.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1959,4806.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1960,5316.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1961,5769.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1962,6352.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1963,6853.0
NIPA,T30500,20,State and local sales taxes,Millions of dollars,1964,7659.0
