TableName,TableNumber,TableDescription,Metric,Units,LastRevised,LineNumber,LineDescription,TimePeriod,DataValue
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1901,2.454
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1902,2.771
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1903,2.886
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1904,2.734
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1905,3.128
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1906,3.316
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1907,3.294
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1908,2.937
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1909,3.336
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1910,3.287
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1911,3.21
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1912,3.597
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1913,3.656
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1914,3.079
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1915,2.837
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1916,3.376
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1917,3.007
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1918,2.577
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1919,3.036
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1920,3.532
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1921,3.148
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1922,4.146
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1923,5.096
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1924,5.247
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1925,5.698
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1926,6.032
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1927,5.774
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1928,5.635
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1929,5.376
FAAT208,2.8,"Chain-Type Quantity indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Fisher Quantity Index,"Index numbers, 2017=100","September 26, 2025",01,Private fixed assets,1930,4.173
