Capital Compensation Research and Development  (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Broadcasting and telecommunications,13510,13054,11356,10346,10133,10176,9622,9227,8836,9059,8527,8062,6822,6507,6487,6226,6636,6232,6973,8007,8554,10327,12296,13697,16238,19204,25159,28081
"Data processing, internet publishing, and other information services",2447,2940,484,291,512,6439,6350,8568,7056,8809,7187,11411,12935,15824,16439,12584,14269,13228,13114,13888,13019,12503,16484,20304,22186,26589,30236,32685
"Federal Reserve banks, credit intermediation, and related activities",1400,1722,2061,2412,2860,3499,3430,2929,2994,2958,2571,2472,2325,2166,2328,2627,2615,3015,3145,3553,3850,4705,5589,6250,8064,10886,13224,16680
"Securities, commodity contracts, and investments",752,441,548,684,884,572,542,574,258,419,628,406,452,421,399,150,673,499,513,130,52,670,752,97,276,1041,1187,1441
Insurance carriers and related activities,4126,5290,5191,7462,6043,5091,5912,6801,6822,6927,7731,4951,5685,5453,5453,5827,4764,7658,9556,10476,10317,11957,15105,15260,16997,20375,22646,27410
"Funds, trusts, and other financial vehicles",12,20,25,25,29,29,29,27,27,26,18,13,4,7,4,12,12,14,13,13,13,2,3,1,51,47,64,159
Real estate,117,143,187,224,223,243,222,202,179,168,170,170,173,161,160,156,209,241,255,283,291,324,346,409,384,472,817,3739
Rental and leasing services and lessors of intangible assets,119,120,139,108,139,149,146,134,125,136,117,117,104,97,96,96,100,100,106,118,127,153,177,206,292,386,519,622
Legal services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer systems design and related services,137,925,1086,1288,1242,1314,1479,1465,1696,2182,4637,6749,11308,13466,16010,18080,15821,12910,11809,13793,13984,18497,16547,17691,12658,11186,14556,15644
"Miscellaneous professional, scientific, and technical services",20992,20356,25251,23346,27770,37224,34907,35823,34621,35635,37105,45406,44035,47950,48854,50189,52119,56804,58833,60758,63574,69875,74539,79320,100126,118303,150964,140016
Management of companies and enterprises,296,337,385,394,316,332,298,270,228,196,185,198,202,183,179,172,161,158,163,168,183,223,264,314,354,399,445,553
Administrative and support services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste management and remediation services,57,80,118,127,156,174,183,183,193,190,187,175,168,153,144,134,132,133,139,136,150,179,199,223,292,391,484,514
Educational services,691,591,703,869,752,546,685,811,756,826,884,1170,1621,1806,1907,1900,1878,1950,2167,2391,2619,2789,2964,2488,2676,3062,3528,0
Ambulatory health care services,566,800,841,1139,1405,1799,1778,2170,2340,2118,2087,2657,2626,2449,2623,2504,2623,2688,2848,3311,3360,3612,4586,5575,7136,7701,10420,14953
Hospitals and nursing and residential care facilities,413,463,481,504,592,647,712,764,792,810,844,889,982,976,1056,1129,1280,1407,1563,1711,1773,1903,2075,2242,2499,2800,3231,4048
Social assistance,8,12,18,24,24,26,27,29,27,28,30,4,0,37,38,35,34,35,39,45,51,58,5,37,110,43,70,359
"Performing arts, spectator sports, museums, and related activities",2,4,6,6,4,6,5,2,7,10,7,11,34,45,51,64,53,68,51,61,76,94,125,67,127,102,189,340
"Amusements, gambling, and recreation industries",48,69,93,108,96,105,109,139,147,165,180,153,139,135,128,133,166,169,188,199,205,225,257,188,355,408,520,955
Accommodation,122,181,268,295,338,381,400,436,468,524,504,452,373,284,289,352,427,475,536,590,629,744,847,925,1181,1516,1865,2074
Food services and drinking places,134,202,300,346,397,465,487,522,537,572,509,470,481,432,417,399,425,434,451,504,509,586,692,873,1364,1269,1625,1763
"Other services, except government",2709,3265,3878,4117,2979,3388,2703,2887,3111,3271,3057,2749,3160,3553,3819,3687,3786,4440,4819,5220,5426,7431,8027,8385,8445,9757,11873,9504
Federal,96511,96280,95121,92409,104918,107269,116722,126711,143147,152285,152573,152846,145256,150057,159906,169654,177244,182818,182187,180555,183758,199040,204758,201881,230117,260802,262351,263198
State and local,7199,7479,7733,7923,9280,9873,10897,11863,13377,14335,14835,15476,15395,16087,17005,18315,19521,20732,21365,21897,23337,25835,27284,27285,30601,33925,34296,35365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
