Production Account Gross Output (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transit and ground passenger transportation,24130,26337,26192,25894,26675,27242,27865,33161,36827,42118,44669,44810,44272,44373,48550,50225,55561,62217,66041,67257,77284,94269,108355,72104,86487,117732,144065,176504
Pipeline transportation,24218,24099,24101,23179,22639,22116,22325,23010,22801,24210,25701,31203,27261,31147,34935,36377,38858,42052,44121,45116,47995,55515,61509,59253,63923,69509,71290,73123
Other transportation and support activities,85350,95534,105986,117949,121416,125125,129924,141966,152199,167090,178299,177594,154752,165482,178841,187014,195895,210604,221748,228060,238420,256320,264172,287118,354854,395931,349700,354422
Warehousing and storage,26309,28598,31057,33779,36296,39656,45218,49645,53120,61439,68973,76831,78544,88401,97537,108809,110329,111099,112131,118107,123701,129729,134781,137306,158674,178203,180326,188312
"Publishing industries, except internet (includes software)",190092,213340,237745,258575,261061,263829,260890,278832,291130,303492,310042,311893,287360,288233,297066,295194,309616,325052,327687,356703,384124,398614,417087,443714,496890,551776,594587,650245
Motion picture and sound recording industries,88454,95582,103494,113814,120397,122394,129785,128715,132197,134228,134522,128536,120577,127191,125613,128824,132499,134144,140460,146688,147978,159963,164470,146160,166825,193370,200457,205261
Broadcasting and telecommunications,382851,424095,480634,535650,551524,546515,543487,554042,576166,601158,622248,643612,636647,659085,680866,704337,723630,764426,788783,829586,824711,847101,853849,853690,895873,915194,900348,900261
"Data processing, internet publishing, and other information services",45802,50382,63584,70118,73488,80564,81928,88931,95959,108194,117677,137496,142680,161836,187872,220706,239950,260625,289220,322115,363706,426629,479693,535078,658514,739031,792191,887224
"Federal Reserve banks, credit intermediation, and related activities",392945,429046,476505,527093,547093,580925,613184,630483,673708,703062,716051,699711,698998,691105,692174,760854,812969,873971,904544,973365,1055893,1109630,1117416,1145451,1192444,1242630,1370201,1420519
"Securities, commodity contracts, and investments",205594,243407,291869,356515,312246,285832,307339,343876,380885,445811,500487,456388,435509,453531,451292,477490,510015,540738,540926,529677,548036,578426,606617,630534,719501,718822,826321,930911
Insurance carriers and related activities,340485,363944,380227,410190,428938,450097,493435,541443,590215,619900,675376,698937,629011,645692,709721,780308,817587,882108,930715,945090,1019265,1057869,1105642,1142840,1201859,1298811,1384351,1496709
"Funds, trusts, and other financial vehicles",56149,65392,74595,89916,80928,71399,70253,80600,88165,97915,114334,118349,99868,108975,113813,117259,139259,145987,165097,158068,157323,149131,147338,155878,180683,184883,222070,264623
Real estate,1267784,1339352,1423618,1536538,1634772,1745175,1856255,2037434,2264127,2346716,2412964,2425871,2391104,2471563,2526567,2632973,2776311,2892701,3050753,3200601,3317520,3475052,3673516,3779327,4184035,4559767,4953566,5238937
Rental and leasing services and lessors of intangible assets,145375,165517,182974,204507,204028,196116,212927,224707,243576,254718,261843,281105,243529,260606,275979,288957,309093,330570,324995,330294,336471,366799,388931,390661,510067,573103,630520,649989
Legal services,152627,166126,176522,183341,195657,204755,225416,233929,245253,257636,270089,277255,272771,278485,289321,297144,296337,303297,314496,319777,339319,342677,354406,357496,389615,412822,426032,461439
Computer systems design and related services,122860,152363,184679,208874,203524,198304,196329,200087,216217,228604,254806,279594,277482,302572,328060,350973,361767,387503,397392,429598,471319,513988,526087,545086,602968,667505,700141,725136
"Miscellaneous professional, scientific, and technical services",518229,563632,608233,673152,695250,708574,732598,791361,855450,917472,993842,1046576,996806,1023348,1078261,1119678,1142182,1205809,1259243,1302321,1367904,1456102,1566725,1588092,1788765,1987542,2129858,2262334
Management of companies and enterprises,194766,221233,239707,259727,259079,261243,280025,320114,354070,382868,432622,431693,399376,421189,445417,477631,491699,517330,540941,539764,567114,599346,630003,638339,694607,748078,784290,855850
Administrative and support services,306368,349832,382408,420366,416028,411497,431783,466695,510049,545678,584917,598585,555269,585662,623673,656820,685680,753617,803663,870560,933280,1009892,1077705,1014808,1137139,1302034,1315837,1327842
Waste management and remediation services,41464,45925,50126,52136,52785,52833,56618,61292,65984,72599,75527,78465,73798,81258,81906,82141,85438,92468,94877,103578,113865,121537,126170,126450,139836,152018,162668,174691
Educational services,112743,121343,129382,141225,155105,165798,176119,184865,194622,212965,236071,256714,272909,292234,305737,308874,318581,328841,338905,349066,356593,368571,382175,352434,374176,416540,447304,494369
Ambulatory health care services,387595,407360,425151,451910,491832,528863,566153,606656,642162,671070,707116,744763,772557,802284,832729,868116,871410,907088,957418,1013806,1070868,1107597,1160606,1107428,1245933,1351357,1480083,1623303
