Production Account Value Added (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transit and ground passenger transportation,15001,16034,17548,18314,18880,19308,21249,22880,23353,25649,26051,27901,28785,30660,33517,35692,36894,39138,40386,40498,42391,44940,53140,39695,45846,56596,69627,82141
Pipeline transportation,6922,9774,10412,9323,16007,10000,10295,10614,9820,10683,12965,16248,14562,20182,21538,25270,26969,30145,36756,39079,40928,43951,38825,38456,41852,43342,46432,48413
Other transportation and support activities,55753,59699,58005,65717,68991,71564,73135,80796,88661,94424,89761,94213,85442,90321,93833,94723,98850,103585,114160,118801,124710,133412,143672,162753,195822,216224,209739,215744
Warehousing and storage,20959,24741,24573,26621,25749,26514,28693,33550,38030,40737,41216,45183,45081,45101,45096,47138,46891,47111,51037,56736,60983,68472,73219,81444,99932,115164,117173,127841
"Publishing industries, except internet (includes software)",94899,105632,136056,111815,110523,132257,140897,155471,167098,156285,183646,180552,169696,177702,184003,188799,195012,202725,207891,218856,234850,245379,277012,301809,350468,363743,405712,441334
Motion picture and sound recording industries,39242,47676,58885,52633,63703,70012,66761,72479,60926,65228,73972,77246,79667,88671,82409,79915,80833,80579,86640,93637,94967,91062,86171,74742,91673,112706,112199,117663
Broadcasting and telecommunications,204956,219175,230986,249484,251676,250948,257258,279609,301422,307221,342078,362787,346402,347256,339010,343555,380033,370438,400221,424016,424785,434768,461431,446689,457310,443937,455978,463243
"Data processing, internet publishing, and other information services",31618,37067,31237,26881,43638,64419,66341,77697,75701,86117,71605,89835,93295,108778,124259,116898,145145,159550,177055,197008,212634,224738,272051,313222,366259,413783,468172,526227
"Federal Reserve banks, credit intermediation, and related activities",232290,266078,301610,320455,334535,379313,397656,373224,412857,428197,405474,414184,407897,418740,460659,518927,508966,561677,583737,620484,646836,684364,737604,770083,840715,904654,943594,1009909
"Securities, commodity contracts, and investments",120934,120607,119989,132726,187141,162063,146010,159064,194620,225971,205173,99002,189660,195855,172496,231836,245650,226984,230128,257110,282147,290369,277654,308853,356458,347297,355301,394337
Insurance carriers and related activities,206126,226850,224432,264298,251295,239285,267171,307210,332740,356393,389544,332447,349293,356757,367506,388622,368467,464771,532906,553042,545014,556004,604401,591365,608424,675861,712714,752517
"Funds, trusts, and other financial vehicles",7150,13125,16956,15236,15199,15006,17173,16970,19410,19185,10450,6463,1896,3582,2124,10032,8507,11567,8325,7399,6796,926,1705,1043,22484,16948,22324,27866
Real estate,940891,971431,1046523,1106822,1192660,1266955,1322903,1396033,1510246,1545707,1693577,1784246,1791010,1854144,1912084,1963201,2051828,2105204,2157570,2230631,2331614,2474202,2582487,2696612,2901429,3179810,3477023,3712485
Rental and leasing services and lessors of intangible assets,101457,108070,121962,130180,142455,140636,136473,132521,136213,160199,155930,170208,155434,152376,154596,164104,170613,174595,186322,196335,200006,214144,227995,232173,266772,297639,336129,347815
Legal services,100997,109693,116375,124732,135605,141956,151705,162697,170206,181231,197229,225981,204950,197236,207695,207686,208811,215380,228274,242727,251036,260994,273568,271283,304176,322853,338836,366273
Computer systems design and related services,74470,87737,101473,112265,116457,108758,114351,121431,133291,147107,164964,179042,186674,200481,221960,249492,252479,263476,282538,303286,321661,353282,372900,387311,428456,451221,483085,513145
