year,series,real_value_added_millions,hours_millions,real_value_added_per_hour,real_output_per_hour_thousands_1982_dollars,index_first_year_100,source_note
1958,Measurable sectors,508490.6881387724,49138.81725799999,10.348044916689323,0.010348044916689324,167.72920411655508,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1958,Unmeasurable sectors,851347.2217505616,61866.183884,13.761107737740057,0.013761107737740056,114.44209626497485,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1958,Total economy,1.3598379098893339e6,111005.001142,12.25024004233647,0.01225024004233647,138.0748979379151,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1959,Measurable sectors,535261.9227713952,51115.04235599999,10.471710441780843,0.010471710441780843,169.73367165291097,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1959,Unmeasurable sectors,895826.0735246334,62938.55214,14.233344159744338,0.014233344159744338,118.36937647357504,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1959,Total economy,1.4310879962960286e6,114053.59449599999,12.547504553626487,0.012547504553626488,141.42542551248374,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1960,Measurable sectors,544698.040072238,50522.262085,10.781347025907579,0.010781347025907578,174.75250354232278,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1960,Unmeasurable sectors,921823.6815052611,64120.24552899999,14.376483962282133,0.014376483962282133,119.55977621272207,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1960,Total economy,1.466521721577499e6,114642.507614,12.792128784510373,0.012792128784510373,144.1826339913138,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1961,Measurable sectors,548447.7698558598,48993.544158,11.194286497975378,0.011194286497975377,181.44574942170016,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1961,Unmeasurable sectors,950112.0494006856,64851.14193799999,14.650660281495531,0.014650660281495531,121.83992061061406,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1961,Total economy,1.4985598192565455e6,113844.68609599999,13.163195144592686,0.013163195144592686,148.36499691803954,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1962,Measurable sectors,588747.4331373705,49889.20803699999,11.801097999004714,0.011801097999004714,191.2814247532086,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1962,Unmeasurable sectors,1.0090064799483513e6,66348.60424799999,15.207651937587922,0.015207651937587923,126.4720544431613,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1962,Total economy,1.597753913085722e6,116237.81228499998,13.74556077473514,0.01374556077473514,154.92895604590754,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1963,Measurable sectors,1.2314302397815783e6,99300.40008200002,12.401060204839972,0.012401060204839972,201.00608135210513,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1963,Unmeasurable sectors,2.0880384352310717e6,134160.190368,15.563770664782183,0.015563770664782184,129.43366003742275,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1963,Total economy,3.31946867501265e6,233460.59045000002,14.218539705627862,0.014218539705627862,160.25999587729854,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1964,Measurable sectors,655593.312908453,49342.58990500001,13.286560640020644,0.013286560640020643,215.35896486135405,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
