year,sector,sector_order,row_type,value_millions,share_of_national_income_percent,share_of_domestic_industries_percent,source_table,source_line,source_description,classification_note,source_note
1949,Manufacturing,5,sector,71305.0,29.26533962651344,29.41989520155135,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Wholesale trade,6,sector,16568.0,6.7999179150420686,6.835829516854396,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Retail trade,7,sector,28746.0,11.79807100348861,11.860378759747494,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Transportation and warehousing,8,sector,13078.0,5.367535399138108,5.39588232867104,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Information,9,sector,4093.0,1.6798686640673097,1.6887403556545777,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Finance, insurance, real estate, rental, and leasing",10,sector,24737.0,10.152678021752514,10.206296158765523,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Services,15,services_total,21878.0,8.979273548122306,9.026694722944258,Table 6.1B,17,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Government,16,sector,24773.0,10.167453314180177,10.221149482196642,Table 6.1B,18,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Rest of the world,17,sector,1280.0,0.525343730761338,missing,Table 6.1B,19,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,"Agriculture, forestry, fishing, and hunting",1,sector,17975.0,6.647141267006142,6.682727519453336,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Mining,2,sector,5833.0,2.1570389435575428,2.168586905200073,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Utilities,3,sector,4607.0,1.7036650802279443,1.7127858515783878,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Construction,4,sector,12541.0,4.6376522186105165,4.662480435130141,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Manufacturing,5,sector,83687.0,30.947388662695023,31.11306914717615,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Wholesale trade,6,sector,18202.0,6.731085693576957,6.767121352383289,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Retail trade,7,sector,29931.0,11.068460932559713,11.127717239763994,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Transportation and warehousing,8,sector,14743.0,5.4519501362710185,5.481137792450656,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Information,9,sector,4601.0,1.7014462848119756,1.7105551775802392,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,"Finance, insurance, real estate, rental, and leasing",10,sector,27261.0,10.081096972453654,10.135067310587894,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Services,15,services_total,23310.0,8.620020191038286,8.66616848280708,Table 6.1B,17,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Government,16,sector,26283.0,9.719433319650761,9.771467448889682,Table 6.1B,18,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1950,Rest of the world,17,sector,1440.0,0.5325108998324809,missing,Table 6.1B,19,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
